        Epoch 1:        Loss 1.6100     TrainAcc 0.2003 ValidAcc 0.2007 TestAcc 0.1979  BestValid 0.2007
        Epoch 50:       Loss 1.3085     TrainAcc 0.4499 ValidAcc 0.3299 TestAcc 0.3381  BestValid 0.3299
        Epoch 100:      Loss 1.1305     TrainAcc 0.5148 ValidAcc 0.3756 TestAcc 0.3823  BestValid 0.3756
        Epoch 150:      Loss 1.0799     TrainAcc 0.5056 ValidAcc 0.3407 TestAcc 0.3660  BestValid 0.3756
        Epoch 200:      Loss 1.0204     TrainAcc 0.5705 ValidAcc 0.4165 TestAcc 0.4054  BestValid 0.4165
        Epoch 250:      Loss 0.9828     TrainAcc 0.5605 ValidAcc 0.3948 TestAcc 0.3987  BestValid 0.4165
        Epoch 300:      Loss 0.9586     TrainAcc 0.5933 ValidAcc 0.4111 TestAcc 0.4083  BestValid 0.4165
        Epoch 350:      Loss 0.9393     TrainAcc 0.6054 ValidAcc 0.3984 TestAcc 0.4121  BestValid 0.4165
        Epoch 400:      Loss 0.9183     TrainAcc 0.5481 ValidAcc 0.3756 TestAcc 0.3593  BestValid 0.4165
        Epoch 450:      Loss 0.8856     TrainAcc 0.6346 ValidAcc 0.4123 TestAcc 0.4227  BestValid 0.4165
        Epoch 500:      Loss 0.8691     TrainAcc 0.6318 ValidAcc 0.4123 TestAcc 0.4256  BestValid 0.4165
        Epoch 550:      Loss 0.8617     TrainAcc 0.6126 ValidAcc 0.3876 TestAcc 0.4198  BestValid 0.4165
        Epoch 600:      Loss 0.8503     TrainAcc 0.6190 ValidAcc 0.4038 TestAcc 0.4131  BestValid 0.4165
        Epoch 650:      Loss 0.8287     TrainAcc 0.6494 ValidAcc 0.4183 TestAcc 0.4246  BestValid 0.4183
        Epoch 700:      Loss 0.8243     TrainAcc 0.6603 ValidAcc 0.4177 TestAcc 0.4342  BestValid 0.4183
        Epoch 750:      Loss 0.8034     TrainAcc 0.6767 ValidAcc 0.4231 TestAcc 0.4380  BestValid 0.4231
        Epoch 800:      Loss 0.7883     TrainAcc 0.6667 ValidAcc 0.4219 TestAcc 0.4467  BestValid 0.4231
        Epoch 850:      Loss 0.8050     TrainAcc 0.6719 ValidAcc 0.4249 TestAcc 0.4553  BestValid 0.4249
        Epoch 900:      Loss 0.8614     TrainAcc 0.5925 ValidAcc 0.3852 TestAcc 0.3977  BestValid 0.4249
        Epoch 950:      Loss 0.7852     TrainAcc 0.6859 ValidAcc 0.4291 TestAcc 0.4515  BestValid 0.4291
        Epoch 1000:     Loss 0.7996     TrainAcc 0.6338 ValidAcc 0.3900 TestAcc 0.4006  BestValid 0.4291
        Epoch 1050:     Loss 0.7860     TrainAcc 0.6683 ValidAcc 0.4249 TestAcc 0.4467  BestValid 0.4291
        Epoch 1100:     Loss 0.7768     TrainAcc 0.7023 ValidAcc 0.4447 TestAcc 0.4611  BestValid 0.4447
        Epoch 1150:     Loss 0.7573     TrainAcc 0.6759 ValidAcc 0.4465 TestAcc 0.4428  BestValid 0.4465
        Epoch 1200:     Loss 0.7864     TrainAcc 0.6831 ValidAcc 0.4405 TestAcc 0.4352  BestValid 0.4465
        Epoch 1250:     Loss 0.7494     TrainAcc 0.6887 ValidAcc 0.4297 TestAcc 0.4553  BestValid 0.4465
        Epoch 1300:     Loss 0.7439     TrainAcc 0.6735 ValidAcc 0.4237 TestAcc 0.4304  BestValid 0.4465
        Epoch 1350:     Loss 0.7514     TrainAcc 0.6983 ValidAcc 0.4315 TestAcc 0.4457  BestValid 0.4465
        Epoch 1400:     Loss 0.7277     TrainAcc 0.7055 ValidAcc 0.4333 TestAcc 0.4515  BestValid 0.4465
        Epoch 1450:     Loss 0.7156     TrainAcc 0.7200 ValidAcc 0.4591 TestAcc 0.4592  BestValid 0.4591
        Epoch 1500:     Loss 0.7380     TrainAcc 0.7067 ValidAcc 0.4441 TestAcc 0.4553  BestValid 0.4591
        Epoch 1550:     Loss 0.7326     TrainAcc 0.6923 ValidAcc 0.4363 TestAcc 0.4505  BestValid 0.4591
        Epoch 1600:     Loss 0.7250     TrainAcc 0.6979 ValidAcc 0.4303 TestAcc 0.4409  BestValid 0.4591
        Epoch 1650:     Loss 0.7107     TrainAcc 0.7059 ValidAcc 0.4465 TestAcc 0.4457  BestValid 0.4591
        Epoch 1700:     Loss 0.7073     TrainAcc 0.7143 ValidAcc 0.4327 TestAcc 0.4630  BestValid 0.4591
        Epoch 1750:     Loss 0.7142     TrainAcc 0.7115 ValidAcc 0.4435 TestAcc 0.4467  BestValid 0.4591
        Epoch 1800:     Loss 0.7011     TrainAcc 0.7228 ValidAcc 0.4507 TestAcc 0.4553  BestValid 0.4591
        Epoch 1850:     Loss 0.6999     TrainAcc 0.7043 ValidAcc 0.4393 TestAcc 0.4390  BestValid 0.4591
        Epoch 1900:     Loss 0.7113     TrainAcc 0.7183 ValidAcc 0.4471 TestAcc 0.4582  BestValid 0.4591
        Epoch 1950:     Loss 0.6953     TrainAcc 0.7107 ValidAcc 0.4309 TestAcc 0.4428  BestValid 0.4591
        Epoch 2000:     Loss 0.6787     TrainAcc 0.7296 ValidAcc 0.4483 TestAcc 0.4659  BestValid 0.4591
        Epoch 2050:     Loss 0.7200     TrainAcc 0.6723 ValidAcc 0.4111 TestAcc 0.4188  BestValid 0.4591
        Epoch 2100:     Loss 0.7096     TrainAcc 0.6819 ValidAcc 0.4207 TestAcc 0.4342  BestValid 0.4591
        Epoch 2150:     Loss 0.6762     TrainAcc 0.7063 ValidAcc 0.4435 TestAcc 0.4400  BestValid 0.4591
        Epoch 2200:     Loss 0.6630     TrainAcc 0.7039 ValidAcc 0.4447 TestAcc 0.4553  BestValid 0.4591
        Epoch 2250:     Loss 0.6630     TrainAcc 0.7043 ValidAcc 0.4459 TestAcc 0.4669  BestValid 0.4591
        Epoch 2300:     Loss 0.6629     TrainAcc 0.7091 ValidAcc 0.4381 TestAcc 0.4409  BestValid 0.4591
        Epoch 2350:     Loss 0.6768     TrainAcc 0.7332 ValidAcc 0.4549 TestAcc 0.4544  BestValid 0.4591
        Epoch 2400:     Loss 0.6618     TrainAcc 0.7364 ValidAcc 0.4561 TestAcc 0.4601  BestValid 0.4591
        Epoch 2450:     Loss 0.6765     TrainAcc 0.7248 ValidAcc 0.4513 TestAcc 0.4448  BestValid 0.4591
        Epoch 2500:     Loss 0.6498     TrainAcc 0.7488 ValidAcc 0.4645 TestAcc 0.4717  BestValid 0.4645
        Epoch 2550:     Loss 0.6554     TrainAcc 0.7348 ValidAcc 0.4441 TestAcc 0.4448  BestValid 0.4645
        Epoch 2600:     Loss 0.6685     TrainAcc 0.7043 ValidAcc 0.4453 TestAcc 0.4323  BestValid 0.4645
        Epoch 2650:     Loss 0.6527     TrainAcc 0.7087 ValidAcc 0.4357 TestAcc 0.4390  BestValid 0.4645
        Epoch 2700:     Loss 0.6417     TrainAcc 0.7536 ValidAcc 0.4639 TestAcc 0.4640  BestValid 0.4645
        Epoch 2750:     Loss 0.6605     TrainAcc 0.7528 ValidAcc 0.4651 TestAcc 0.4755  BestValid 0.4651
        Epoch 2800:     Loss 0.6422     TrainAcc 0.7608 ValidAcc 0.4621 TestAcc 0.4678  BestValid 0.4651
        Epoch 2850:     Loss 0.6619     TrainAcc 0.7476 ValidAcc 0.4567 TestAcc 0.4630  BestValid 0.4651
        Epoch 2900:     Loss 0.6464     TrainAcc 0.6675 ValidAcc 0.4285 TestAcc 0.4323  BestValid 0.4651
        Epoch 2950:     Loss 0.6626     TrainAcc 0.7416 ValidAcc 0.4603 TestAcc 0.4659  BestValid 0.4651
        Epoch 3000:     Loss 0.6476     TrainAcc 0.7139 ValidAcc 0.4429 TestAcc 0.4323  BestValid 0.4651
        Epoch 3050:     Loss 0.6428     TrainAcc 0.7272 ValidAcc 0.4549 TestAcc 0.4467  BestValid 0.4651
        Epoch 3100:     Loss 0.6403     TrainAcc 0.7548 ValidAcc 0.4760 TestAcc 0.4697  BestValid 0.4760
        Epoch 3150:     Loss 0.6283     TrainAcc 0.7228 ValidAcc 0.4615 TestAcc 0.4611  BestValid 0.4760
        Epoch 3200:     Loss 0.6249     TrainAcc 0.7356 ValidAcc 0.4639 TestAcc 0.4573  BestValid 0.4760
        Epoch 3250:     Loss 0.6355     TrainAcc 0.7500 ValidAcc 0.4639 TestAcc 0.4544  BestValid 0.4760
        Epoch 3300:     Loss 0.6257     TrainAcc 0.7224 ValidAcc 0.4507 TestAcc 0.4457  BestValid 0.4760
        Epoch 3350:     Loss 0.6196     TrainAcc 0.7288 ValidAcc 0.4405 TestAcc 0.4534  BestValid 0.4760
        Epoch 3400:     Loss 0.6118     TrainAcc 0.7504 ValidAcc 0.4567 TestAcc 0.4669  BestValid 0.4760
        Epoch 3450:     Loss 0.6135     TrainAcc 0.7592 ValidAcc 0.4675 TestAcc 0.4592  BestValid 0.4760
        Epoch 3500:     Loss 0.6095     TrainAcc 0.7524 ValidAcc 0.4555 TestAcc 0.4707  BestValid 0.4760
        Epoch 3550:     Loss 0.6307     TrainAcc 0.7516 ValidAcc 0.4465 TestAcc 0.4544  BestValid 0.4760
        Epoch 3600:     Loss 0.6187     TrainAcc 0.7440 ValidAcc 0.4567 TestAcc 0.4573  BestValid 0.4760
        Epoch 3650:     Loss 0.6079     TrainAcc 0.7648 ValidAcc 0.4651 TestAcc 0.4611  BestValid 0.4760
        Epoch 3700:     Loss 0.6140     TrainAcc 0.7600 ValidAcc 0.4501 TestAcc 0.4659  BestValid 0.4760
        Epoch 3750:     Loss 0.6220     TrainAcc 0.7568 ValidAcc 0.4579 TestAcc 0.4745  BestValid 0.4760
        Epoch 3800:     Loss 0.6206     TrainAcc 0.7432 ValidAcc 0.4609 TestAcc 0.4611  BestValid 0.4760
        Epoch 3850:     Loss 0.5981     TrainAcc 0.7624 ValidAcc 0.4573 TestAcc 0.4582  BestValid 0.4760
        Epoch 3900:     Loss 0.5894     TrainAcc 0.7724 ValidAcc 0.4760 TestAcc 0.4784  BestValid 0.4760
        Epoch 3950:     Loss 0.5981     TrainAcc 0.7340 ValidAcc 0.4525 TestAcc 0.4515  BestValid 0.4760
        Epoch 4000:     Loss 0.5910     TrainAcc 0.7632 ValidAcc 0.4712 TestAcc 0.4717  BestValid 0.4760
        Epoch 4050:     Loss 0.5873     TrainAcc 0.7059 ValidAcc 0.4339 TestAcc 0.4294  BestValid 0.4760
        Epoch 4100:     Loss 0.5985     TrainAcc 0.7845 ValidAcc 0.4814 TestAcc 0.5005  BestValid 0.4814
        Epoch 4150:     Loss 0.5788     TrainAcc 0.7432 ValidAcc 0.4495 TestAcc 0.4496  BestValid 0.4814
        Epoch 4200:     Loss 0.5843     TrainAcc 0.7744 ValidAcc 0.4784 TestAcc 0.4880  BestValid 0.4814
        Epoch 4250:     Loss 0.5698     TrainAcc 0.7488 ValidAcc 0.4573 TestAcc 0.4505  BestValid 0.4814
        Epoch 4300:     Loss 0.5663     TrainAcc 0.7288 ValidAcc 0.4495 TestAcc 0.4515  BestValid 0.4814
        Epoch 4350:     Loss 0.6336     TrainAcc 0.6815 ValidAcc 0.4303 TestAcc 0.4313  BestValid 0.4814
        Epoch 4400:     Loss 0.5794     TrainAcc 0.7829 ValidAcc 0.4675 TestAcc 0.4765  BestValid 0.4814
        Epoch 4450:     Loss 0.5796     TrainAcc 0.7352 ValidAcc 0.4411 TestAcc 0.4563  BestValid 0.4814
