The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_arxiv
The number of GCN layers: 8
The number of hidden units: 64
The number of training epoches: 5000
Learning rate: 0.000300
Initialized node g001.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 0.038 seconds.
Building the CSC structure...
        It takes 0.038 seconds.
Building the Feature Vector...
        It takes 0.054 seconds.
Building the Label Vector...
        It takes 0.021 seconds.
Number of classes: 40
Number of feature dimensions: 128
Dropout: 0.700 
train nodes 90941, valid nodes 29799, test nodes 48603
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 40
    Number of vertices: 169343
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 9:	Loss 3.67694	TrainAcc 0.0654	ValidAcc 0.1288	TestAcc 0.1911
    Epoch 19:	Loss 3.61224	TrainAcc 0.0825	ValidAcc 0.1404	TestAcc 0.2054
    Epoch 29:	Loss 3.44608	TrainAcc 0.1278	ValidAcc 0.1051	TestAcc 0.1245
    Epoch 39:	Loss 3.33706	TrainAcc 0.1578	ValidAcc 0.0804	TestAcc 0.0631
    Epoch 49:	Loss 3.25883	TrainAcc 0.1601	ValidAcc 0.1059	TestAcc 0.0883
    Epoch 59:	Loss 3.19642	TrainAcc 0.1614	ValidAcc 0.0953	TestAcc 0.0788
    Epoch 69:	Loss 3.13919	TrainAcc 0.1687	ValidAcc 0.0977	TestAcc 0.0806
    Epoch 79:	Loss 3.06568	TrainAcc 0.1754	ValidAcc 0.1039	TestAcc 0.0852
    Epoch 89:	Loss 2.98072	TrainAcc 0.1896	ValidAcc 0.1432	TestAcc 0.1288
    Epoch 99:	Loss 2.91153	TrainAcc 0.2324	ValidAcc 0.2211	TestAcc 0.2096
    Epoch 109:	Loss 2.84535	TrainAcc 0.2518	ValidAcc 0.2520	TestAcc 0.2474
    Epoch 119:	Loss 2.77243	TrainAcc 0.2818	ValidAcc 0.3042	TestAcc 0.2914
    Epoch 129:	Loss 2.70590	TrainAcc 0.2980	ValidAcc 0.3123	TestAcc 0.3063
    Epoch 139:	Loss 2.63773	TrainAcc 0.3164	ValidAcc 0.3267	TestAcc 0.3227
    Epoch 149:	Loss 2.60110	TrainAcc 0.3293	ValidAcc 0.3399	TestAcc 0.3291
    Epoch 159:	Loss 2.55029	TrainAcc 0.3457	ValidAcc 0.3574	TestAcc 0.3429
    Epoch 169:	Loss 2.51597	TrainAcc 0.3540	ValidAcc 0.3615	TestAcc 0.3419
    Epoch 179:	Loss 2.47755	TrainAcc 0.3605	ValidAcc 0.3642	TestAcc 0.3562
    Epoch 189:	Loss 2.44490	TrainAcc 0.3741	ValidAcc 0.3936	TestAcc 0.3836
    Epoch 199:	Loss 2.42002	TrainAcc 0.3815	ValidAcc 0.3975	TestAcc 0.3923
    Epoch 209:	Loss 2.38974	TrainAcc 0.3894	ValidAcc 0.4039	TestAcc 0.4000
    Epoch 219:	Loss 2.36317	TrainAcc 0.3893	ValidAcc 0.4091	TestAcc 0.4064
    Epoch 229:	Loss 2.35297	TrainAcc 0.3960	ValidAcc 0.4209	TestAcc 0.4239
    Epoch 239:	Loss 2.33610	TrainAcc 0.3970	ValidAcc 0.4196	TestAcc 0.4136
    Epoch 249:	Loss 2.30915	TrainAcc 0.4034	ValidAcc 0.4270	TestAcc 0.4193
    Epoch 259:	Loss 2.29471	TrainAcc 0.4056	ValidAcc 0.4364	TestAcc 0.4317
