The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_arxiv
The number of GCN layers: 8
The number of hidden units: 64
The number of training epoches: 5000
Learning rate: 0.001000
Initialized node g001.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 0.038 seconds.
Building the CSC structure...
        It takes 0.038 seconds.
Building the Feature Vector...
        It takes 0.053 seconds.
Building the Label Vector...
        It takes 0.020 seconds.
Number of classes: 40
Number of feature dimensions: 128
Dropout: 0.500 
train nodes 90941, valid nodes 29799, test nodes 48603
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 40
    Number of vertices: 169343
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 9:	Loss 3.51216	TrainAcc 0.0787	ValidAcc 0.1487	TestAcc 0.2187
    Epoch 19:	Loss 3.20774	TrainAcc 0.1484	ValidAcc 0.1485	TestAcc 0.1367
    Epoch 29:	Loss 3.00761	TrainAcc 0.1776	ValidAcc 0.0860	TestAcc 0.0665
    Epoch 39:	Loss 2.77110	TrainAcc 0.2874	ValidAcc 0.2936	TestAcc 0.2744
    Epoch 49:	Loss 2.53821	TrainAcc 0.3568	ValidAcc 0.3608	TestAcc 0.3428
    Epoch 59:	Loss 2.39232	TrainAcc 0.3882	ValidAcc 0.3915	TestAcc 0.3751
    Epoch 69:	Loss 2.26586	TrainAcc 0.4192	ValidAcc 0.4405	TestAcc 0.4350
    Epoch 79:	Loss 2.17416	TrainAcc 0.4318	ValidAcc 0.4576	TestAcc 0.4498
    Epoch 89:	Loss 2.09437	TrainAcc 0.4480	ValidAcc 0.4846	TestAcc 0.4816
    Epoch 99:	Loss 2.03113	TrainAcc 0.4583	ValidAcc 0.4944	TestAcc 0.4958
    Epoch 109:	Loss 1.98269	TrainAcc 0.4717	ValidAcc 0.5093	TestAcc 0.5182
    Epoch 119:	Loss 1.92240	TrainAcc 0.4885	ValidAcc 0.5175	TestAcc 0.5160
    Epoch 129:	Loss 1.86971	TrainAcc 0.4990	ValidAcc 0.5299	TestAcc 0.5303
    Epoch 139:	Loss 1.83059	TrainAcc 0.5120	ValidAcc 0.5427	TestAcc 0.5440
    Epoch 149:	Loss 1.81915	TrainAcc 0.5123	ValidAcc 0.5433	TestAcc 0.5522
    Epoch 159:	Loss 1.78558	TrainAcc 0.5220	ValidAcc 0.5535	TestAcc 0.5534
    Epoch 169:	Loss 1.76688	TrainAcc 0.5242	ValidAcc 0.5499	TestAcc 0.5472
    Epoch 179:	Loss 1.73997	TrainAcc 0.5294	ValidAcc 0.5563	TestAcc 0.5499
    Epoch 189:	Loss 1.72372	TrainAcc 0.5335	ValidAcc 0.5584	TestAcc 0.5608
    Epoch 199:	Loss 1.71053	TrainAcc 0.5365	ValidAcc 0.5642	TestAcc 0.5606
    Epoch 209:	Loss 1.70488	TrainAcc 0.5394	ValidAcc 0.5633	TestAcc 0.5614
    Epoch 219:	Loss 1.68337	TrainAcc 0.5417	ValidAcc 0.5703	TestAcc 0.5710
    Epoch 229:	Loss 1.68227	TrainAcc 0.5414	ValidAcc 0.5695	TestAcc 0.5725
    Epoch 239:	Loss 1.67453	TrainAcc 0.5459	ValidAcc 0.5719	TestAcc 0.5765
    Epoch 249:	Loss 1.65702	TrainAcc 0.5486	ValidAcc 0.5742	TestAcc 0.5747
    Epoch 259:	Loss 1.65157	TrainAcc 0.5524	ValidAcc 0.5734	TestAcc 0.5739
