The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_products
The number of GCN layers: 8
The number of hidden units: 32
The number of training epoches: 5000
Learning rate: 0.000300
Initialized node g000.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 1.924 seconds.
Building the CSC structure...
        It takes 1.886 seconds.
Building the Feature Vector...
        It takes 0.569 seconds.
Building the Label Vector...
        It takes 0.314 seconds.
Number of classes: 47
Number of feature dimensions: 100
Dropout: 0.300 
train nodes 196615, valid nodes 39323, test nodes 2213091
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_DROPOUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 47
    Number of vertices: 2449029
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 9:	Loss 3.83997	TrainAcc 0.0013	ValidAcc 0.0018	TestAcc 0.0185
    Epoch 19:	Loss 3.80548	TrainAcc 0.0019	ValidAcc 0.0020	TestAcc 0.0190
    Epoch 29:	Loss 3.73378	TrainAcc 0.0399	ValidAcc 0.0381	TestAcc 0.0307
    Epoch 39:	Loss 3.59080	TrainAcc 0.0574	ValidAcc 0.0582	TestAcc 0.0473
    Epoch 49:	Loss 3.37076	TrainAcc 0.0585	ValidAcc 0.0605	TestAcc 0.0548
    Epoch 59:	Loss 3.10713	TrainAcc 0.1238	ValidAcc 0.1394	TestAcc 0.1225
    Epoch 69:	Loss 2.82867	TrainAcc 0.3399	ValidAcc 0.3355	TestAcc 0.2522
    Epoch 79:	Loss 2.57987	TrainAcc 0.3556	ValidAcc 0.3549	TestAcc 0.2735
    Epoch 89:	Loss 2.37316	TrainAcc 0.4051	ValidAcc 0.4025	TestAcc 0.3049
    Epoch 99:	Loss 2.20651	TrainAcc 0.4413	ValidAcc 0.4403	TestAcc 0.3351
    Epoch 109:	Loss 2.05526	TrainAcc 0.4980	ValidAcc 0.4933	TestAcc 0.3691
    Epoch 119:	Loss 1.92410	TrainAcc 0.5219	ValidAcc 0.5184	TestAcc 0.3909
    Epoch 129:	Loss 1.80442	TrainAcc 0.5463	ValidAcc 0.5410	TestAcc 0.4074
    Epoch 139:	Loss 1.71017	TrainAcc 0.5596	ValidAcc 0.5575	TestAcc 0.4177
    Epoch 149:	Loss 1.61748	TrainAcc 0.5704	ValidAcc 0.5679	TestAcc 0.4264
    Epoch 159:	Loss 1.54549	TrainAcc 0.5856	ValidAcc 0.5832	TestAcc 0.4361
    Epoch 169:	Loss 1.47994	TrainAcc 0.6030	ValidAcc 0.5972	TestAcc 0.4456
    Epoch 179:	Loss 1.42409	TrainAcc 0.6236	ValidAcc 0.6164	TestAcc 0.4577
    Epoch 189:	Loss 1.37260	TrainAcc 0.6462	ValidAcc 0.6373	TestAcc 0.4700
    Epoch 199:	Loss 1.32347	TrainAcc 0.6641	ValidAcc 0.6547	TestAcc 0.4816
    Epoch 209:	Loss 1.28465	TrainAcc 0.6766	ValidAcc 0.6658	TestAcc 0.4914
    Epoch 219:	Loss 1.25067	TrainAcc 0.6883	ValidAcc 0.6790	TestAcc 0.4993
    Epoch 229:	Loss 1.20898	TrainAcc 0.6997	ValidAcc 0.6890	TestAcc 0.5093
    Epoch 239:	Loss 1.17554	TrainAcc 0.7127	ValidAcc 0.7018	TestAcc 0.5179
    Epoch 249:	Loss 1.14001	TrainAcc 0.7234	ValidAcc 0.7130	TestAcc 0.5261
    Epoch 259:	Loss 1.11096	TrainAcc 0.7348	ValidAcc 0.7246	TestAcc 0.5354
    Epoch 269:	Loss 1.08587	TrainAcc 0.7429	ValidAcc 0.7330	TestAcc 0.5453
    Epoch 279:	Loss 1.05841	TrainAcc 0.7536	ValidAcc 0.7425	TestAcc 0.5550
    Epoch 289:	Loss 1.03709	TrainAcc 0.7574	ValidAcc 0.7482	TestAcc 0.5610
    Epoch 299:	Loss 1.01218	TrainAcc 0.7646	ValidAcc 0.7558	TestAcc 0.5676
    Epoch 309:	Loss 0.99231	TrainAcc 0.7700	ValidAcc 0.7594	TestAcc 0.5729
    Epoch 319:	Loss 0.97540	TrainAcc 0.7739	ValidAcc 0.7660	TestAcc 0.5771
    Epoch 329:	Loss 0.96156	TrainAcc 0.7777	ValidAcc 0.7676	TestAcc 0.5827
    Epoch 339:	Loss 0.94050	TrainAcc 0.7821	ValidAcc 0.7720	TestAcc 0.5887
    Epoch 349:	Loss 0.92578	TrainAcc 0.7888	ValidAcc 0.7801	TestAcc 0.5956
    Epoch 359:	Loss 0.91201	TrainAcc 0.7927	ValidAcc 0.7836	TestAcc 0.5961
    Epoch 369:	Loss 0.89882	TrainAcc 0.7972	ValidAcc 0.7867	TestAcc 0.6020
    Epoch 379:	Loss 0.88393	TrainAcc 0.8003	ValidAcc 0.7920	TestAcc 0.6066
    Epoch 389:	Loss 0.87272	TrainAcc 0.8032	ValidAcc 0.7938	TestAcc 0.6084
    Epoch 399:	Loss 0.85952	TrainAcc 0.8096	ValidAcc 0.8034	TestAcc 0.6139
    Epoch 409:	Loss 0.84799	TrainAcc 0.8141	ValidAcc 0.8068	TestAcc 0.6172
    Epoch 419:	Loss 0.83834	TrainAcc 0.8167	ValidAcc 0.8078	TestAcc 0.6199
    Epoch 429:	Loss 0.82114	TrainAcc 0.8220	ValidAcc 0.8118	TestAcc 0.6241
    Epoch 439:	Loss 0.81161	TrainAcc 0.8255	ValidAcc 0.8164	TestAcc 0.6273
    Epoch 449:	Loss 0.80636	TrainAcc 0.8249	ValidAcc 0.8171	TestAcc 0.6289
    Epoch 459:	Loss 0.79692	TrainAcc 0.8275	ValidAcc 0.8186	TestAcc 0.6319
    Epoch 469:	Loss 0.78547	TrainAcc 0.8295	ValidAcc 0.8223	TestAcc 0.6328
    Epoch 479:	Loss 0.77919	TrainAcc 0.8301	ValidAcc 0.8216	TestAcc 0.6334
    Epoch 489:	Loss 0.77153	TrainAcc 0.8305	ValidAcc 0.8236	TestAcc 0.6354
    Epoch 499:	Loss 0.76016	TrainAcc 0.8352	ValidAcc 0.8268	TestAcc 0.6387
    Epoch 509:	Loss 0.75903	TrainAcc 0.8342	ValidAcc 0.8264	TestAcc 0.6386
    Epoch 519:	Loss 0.75063	TrainAcc 0.8360	ValidAcc 0.8276	TestAcc 0.6387
    Epoch 529:	Loss 0.74164	TrainAcc 0.8374	ValidAcc 0.8294	TestAcc 0.6407
    Epoch 539:	Loss 0.73605	TrainAcc 0.8383	ValidAcc 0.8319	TestAcc 0.6425
    Epoch 549:	Loss 0.72824	TrainAcc 0.8400	ValidAcc 0.8327	TestAcc 0.6441
    Epoch 559:	Loss 0.72663	TrainAcc 0.8376	ValidAcc 0.8334	TestAcc 0.6433
    Epoch 569:	Loss 0.72157	TrainAcc 0.8412	ValidAcc 0.8332	TestAcc 0.6445
    Epoch 579:	Loss 0.71410	TrainAcc 0.8434	ValidAcc 0.8362	TestAcc 0.6471
    Epoch 589:	Loss 0.70757	TrainAcc 0.8434	ValidAcc 0.8377	TestAcc 0.6477
    Epoch 599:	Loss 0.70366	TrainAcc 0.8447	ValidAcc 0.8386	TestAcc 0.6486
    Epoch 609:	Loss 0.69761	TrainAcc 0.8445	ValidAcc 0.8352	TestAcc 0.6483
    Epoch 619:	Loss 0.69586	TrainAcc 0.8445	ValidAcc 0.8380	TestAcc 0.6485
    Epoch 629:	Loss 0.68972	TrainAcc 0.8461	ValidAcc 0.8401	TestAcc 0.6502
    Epoch 639:	Loss 0.68385	TrainAcc 0.8472	ValidAcc 0.8398	TestAcc 0.6502
    Epoch 649:	Loss 0.68308	TrainAcc 0.8476	ValidAcc 0.8436	TestAcc 0.6520
    Epoch 659:	Loss 0.68011	TrainAcc 0.8471	ValidAcc 0.8408	TestAcc 0.6520
    Epoch 669:	Loss 0.67610	TrainAcc 0.8490	ValidAcc 0.8427	TestAcc 0.6543
    Epoch 679:	Loss 0.66921	TrainAcc 0.8501	ValidAcc 0.8435	TestAcc 0.6537
    Epoch 689:	Loss 0.66684	TrainAcc 0.8502	ValidAcc 0.8427	TestAcc 0.6529
    Epoch 699:	Loss 0.66660	TrainAcc 0.8493	ValidAcc 0.8429	TestAcc 0.6544
    Epoch 709:	Loss 0.66138	TrainAcc 0.8501	ValidAcc 0.8459	TestAcc 0.6550
    Epoch 719:	Loss 0.65881	TrainAcc 0.8508	ValidAcc 0.8442	TestAcc 0.6549
    Epoch 729:	Loss 0.65630	TrainAcc 0.8512	ValidAcc 0.8449	TestAcc 0.6562
    Epoch 739:	Loss 0.65067	TrainAcc 0.8517	ValidAcc 0.8459	TestAcc 0.6561
    Epoch 749:	Loss 0.65142	TrainAcc 0.8515	ValidAcc 0.8477	TestAcc 0.6585
    Epoch 759:	Loss 0.64909	TrainAcc 0.8521	ValidAcc 0.8468	TestAcc 0.6591
    Epoch 769:	Loss 0.64188	TrainAcc 0.8528	ValidAcc 0.8476	TestAcc 0.6591
    Epoch 779:	Loss 0.63990	TrainAcc 0.8537	ValidAcc 0.8459	TestAcc 0.6586
    Epoch 789:	Loss 0.63784	TrainAcc 0.8551	ValidAcc 0.8472	TestAcc 0.6608
    Epoch 799:	Loss 0.63341	TrainAcc 0.8562	ValidAcc 0.8484	TestAcc 0.6611
    Epoch 809:	Loss 0.63140	TrainAcc 0.8563	ValidAcc 0.8494	TestAcc 0.6611
    Epoch 819:	Loss 0.62995	TrainAcc 0.8564	ValidAcc 0.8506	TestAcc 0.6620
    Epoch 829:	Loss 0.63007	TrainAcc 0.8566	ValidAcc 0.8507	TestAcc 0.6627
    Epoch 839:	Loss 0.62504	TrainAcc 0.8567	ValidAcc 0.8513	TestAcc 0.6622
    Epoch 849:	Loss 0.62357	TrainAcc 0.8574	ValidAcc 0.8519	TestAcc 0.6633
    Epoch 859:	Loss 0.61970	TrainAcc 0.8584	ValidAcc 0.8506	TestAcc 0.6647
    Epoch 869:	Loss 0.61902	TrainAcc 0.8590	ValidAcc 0.8520	TestAcc 0.6655
    Epoch 879:	Loss 0.61415	TrainAcc 0.8591	ValidAcc 0.8527	TestAcc 0.6660
    Epoch 889:	Loss 0.61242	TrainAcc 0.8593	ValidAcc 0.8515	TestAcc 0.6660
    Epoch 899:	Loss 0.61224	TrainAcc 0.8607	ValidAcc 0.8530	TestAcc 0.6675
    Epoch 909:	Loss 0.60852	TrainAcc 0.8616	ValidAcc 0.8546	TestAcc 0.6679
    Epoch 919:	Loss 0.60731	TrainAcc 0.8597	ValidAcc 0.8556	TestAcc 0.6677
    Epoch 929:	Loss 0.60310	TrainAcc 0.8608	ValidAcc 0.8528	TestAcc 0.6673
    Epoch 939:	Loss 0.60208	TrainAcc 0.8615	ValidAcc 0.8563	TestAcc 0.6696
    Epoch 949:	Loss 0.60148	TrainAcc 0.8617	ValidAcc 0.8547	TestAcc 0.6685
    Epoch 959:	Loss 0.60162	TrainAcc 0.8609	ValidAcc 0.8541	TestAcc 0.6692
    Epoch 969:	Loss 0.59524	TrainAcc 0.8628	ValidAcc 0.8550	TestAcc 0.6688
    Epoch 979:	Loss 0.59542	TrainAcc 0.8630	ValidAcc 0.8568	TestAcc 0.6713
    Epoch 989:	Loss 0.59436	TrainAcc 0.8627	ValidAcc 0.8554	TestAcc 0.6718
