The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_arxiv
The number of GCN layers: 2
The number of hidden units: 64
The number of training epoches: 1000
Learning rate: 0.001000
Initialized node g000.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 0.079 seconds.
Building the CSC structure...
        It takes 0.038 seconds.
Building the Feature Vector...
        It takes 0.154 seconds.
Building the Label Vector...
        It takes 0.057 seconds.
Number of classes: 40
Number of feature dimensions: 128
train nodes 90941, valid nodes 29799, test nodes 48603
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 40
    Number of vertices: 169343
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.71136	TrainAcc 0.0192	ValidAcc 0.0177	TestAcc 0.0167
    Epoch 1:	Loss 3.69153	TrainAcc 0.0232	ValidAcc 0.0196	TestAcc 0.0191
    Epoch 2:	Loss 3.66505	TrainAcc 0.0271	ValidAcc 0.0222	TestAcc 0.0221
    Epoch 3:	Loss 3.63438	TrainAcc 0.0321	ValidAcc 0.0272	TestAcc 0.0255
    Epoch 4:	Loss 3.60082	TrainAcc 0.0473	ValidAcc 0.0387	TestAcc 0.0374
    Epoch 5:	Loss 3.56519	TrainAcc 0.1737	ValidAcc 0.0885	TestAcc 0.0725
    Epoch 6:	Loss 3.52811	TrainAcc 0.1795	ValidAcc 0.0774	TestAcc 0.0594
    Epoch 7:	Loss 3.49000	TrainAcc 0.1791	ValidAcc 0.0764	TestAcc 0.0588
    Epoch 8:	Loss 3.45106	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 9:	Loss 3.41133	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 10:	Loss 3.37092	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 11:	Loss 3.33014	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 12:	Loss 3.28936	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 13:	Loss 3.24935	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 14:	Loss 3.21095	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 15:	Loss 3.17501	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 16:	Loss 3.14237	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 17:	Loss 3.11354	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 18:	Loss 3.08846	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 19:	Loss 3.06670	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 20:	Loss 3.04760	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 21:	Loss 3.03062	TrainAcc 0.1792	ValidAcc 0.0764	TestAcc 0.0586
    Epoch 22:	Loss 3.01539	TrainAcc 0.1794	ValidAcc 0.0768	TestAcc 0.0587
    Epoch 23:	Loss 3.00167	TrainAcc 0.1808	ValidAcc 0.0786	TestAcc 0.0597
    Epoch 24:	Loss 2.98927	TrainAcc 0.1918	ValidAcc 0.0988	TestAcc 0.0750
    Epoch 25:	Loss 2.97788	TrainAcc 0.2381	ValidAcc 0.2080	TestAcc 0.1807
    Epoch 26:	Loss 2.96707	TrainAcc 0.2621	ValidAcc 0.2719	TestAcc 0.2474
    Epoch 27:	Loss 2.95636	TrainAcc 0.2705	ValidAcc 0.2894	TestAcc 0.2627
    Epoch 28:	Loss 2.94536	TrainAcc 0.2738	ValidAcc 0.2951	TestAcc 0.2667
    Epoch 29:	Loss 2.93387	TrainAcc 0.2753	ValidAcc 0.2970	TestAcc 0.2683
    Epoch 30:	Loss 2.92190	TrainAcc 0.2754	ValidAcc 0.2972	TestAcc 0.2684
    Epoch 31:	Loss 2.90965	TrainAcc 0.2747	ValidAcc 0.2965	TestAcc 0.2678
    Epoch 32:	Loss 2.89744	TrainAcc 0.2731	ValidAcc 0.2948	TestAcc 0.2665
    Epoch 33:	Loss 2.88553	TrainAcc 0.2709	ValidAcc 0.2912	TestAcc 0.2644
    Epoch 34:	Loss 2.87406	TrainAcc 0.2684	ValidAcc 0.2865	TestAcc 0.2610
    Epoch 35:	Loss 2.86304	TrainAcc 0.2660	ValidAcc 0.2804	TestAcc 0.2561
    Epoch 36:	Loss 2.85245	TrainAcc 0.2638	ValidAcc 0.2756	TestAcc 0.2520
    Epoch 37:	Loss 2.84215	TrainAcc 0.2624	ValidAcc 0.2726	TestAcc 0.2490
    Epoch 38:	Loss 2.83199	TrainAcc 0.2625	ValidAcc 0.2722	TestAcc 0.2481
    Epoch 39:	Loss 2.82182	TrainAcc 0.2638	ValidAcc 0.2742	TestAcc 0.2498
    Epoch 40:	Loss 2.81158	TrainAcc 0.2661	ValidAcc 0.2779	TestAcc 0.2531
    Epoch 41:	Loss 2.80123	TrainAcc 0.2691	ValidAcc 0.2828	TestAcc 0.2572
    Epoch 42:	Loss 2.79079	TrainAcc 0.2723	ValidAcc 0.2880	TestAcc 0.2616
    Epoch 43:	Loss 2.78030	TrainAcc 0.2754	ValidAcc 0.2930	TestAcc 0.2650
