The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_products
The number of GCN layers: 2
The number of hidden units: 16
The number of training epoches: 5000
Learning rate: 0.030000
Initialized node g005.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 1.860 seconds.
Building the CSC structure...
        It takes 1.825 seconds.
Building the Feature Vector...
        It takes 0.597 seconds.
Building the Label Vector...
        It takes 0.323 seconds.
Number of classes: 47
Number of feature dimensions: 100
train nodes 196615, valid nodes 39323, test nodes 2213091
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 47
    Number of vertices: 2449029
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.99949	TrainAcc 0.0039	ValidAcc 0.0041	TestAcc 0.0087
    Epoch 1:	Loss 3.69097	TrainAcc 0.0956	ValidAcc 0.0955	TestAcc 0.0728
    Epoch 2:	Loss 3.32410	TrainAcc 0.3085	ValidAcc 0.2991	TestAcc 0.2144
    Epoch 3:	Loss 2.89209	TrainAcc 0.3784	ValidAcc 0.3736	TestAcc 0.2736
    Epoch 4:	Loss 2.45211	TrainAcc 0.4743	ValidAcc 0.4637	TestAcc 0.3313
    Epoch 5:	Loss 2.05186	TrainAcc 0.5963	ValidAcc 0.5801	TestAcc 0.4111
    Epoch 6:	Loss 1.70079	TrainAcc 0.6812	ValidAcc 0.6675	TestAcc 0.4836
    Epoch 7:	Loss 1.43444	TrainAcc 0.7267	ValidAcc 0.7158	TestAcc 0.5295
    Epoch 8:	Loss 1.29006	TrainAcc 0.7128	ValidAcc 0.7045	TestAcc 0.5311
    Epoch 9:	Loss 1.17730	TrainAcc 0.7286	ValidAcc 0.7201	TestAcc 0.5422
    Epoch 10:	Loss 1.05543	TrainAcc 0.7674	ValidAcc 0.7552	TestAcc 0.5657
    Epoch 11:	Loss 0.96990	TrainAcc 0.7886	ValidAcc 0.7770	TestAcc 0.5838
    Epoch 12:	Loss 0.92018	TrainAcc 0.7982	ValidAcc 0.7877	TestAcc 0.5941
    Epoch 13:	Loss 0.88039	TrainAcc 0.8056	ValidAcc 0.7943	TestAcc 0.6025
    Epoch 14:	Loss 0.84721	TrainAcc 0.8140	ValidAcc 0.8019	TestAcc 0.6118
    Epoch 15:	Loss 0.82714	TrainAcc 0.8206	ValidAcc 0.8076	TestAcc 0.6201
    Epoch 16:	Loss 0.81184	TrainAcc 0.8244	ValidAcc 0.8115	TestAcc 0.6261
    Epoch 17:	Loss 0.78612	TrainAcc 0.8291	ValidAcc 0.8160	TestAcc 0.6309
    Epoch 18:	Loss 0.75573	TrainAcc 0.8345	ValidAcc 0.8230	TestAcc 0.6351
    Epoch 19:	Loss 0.72979	TrainAcc 0.8401	ValidAcc 0.8295	TestAcc 0.6389
    Epoch 20:	Loss 0.71213	TrainAcc 0.8452	ValidAcc 0.8341	TestAcc 0.6412
    Epoch 21:	Loss 0.69734	TrainAcc 0.8493	ValidAcc 0.8387	TestAcc 0.6430
    Epoch 22:	Loss 0.68556	TrainAcc 0.8512	ValidAcc 0.8415	TestAcc 0.6446
    Epoch 23:	Loss 0.67600	TrainAcc 0.8530	ValidAcc 0.8417	TestAcc 0.6469
    Epoch 24:	Loss 0.66553	TrainAcc 0.8543	ValidAcc 0.8426	TestAcc 0.6498
    Epoch 25:	Loss 0.65337	TrainAcc 0.8561	ValidAcc 0.8442	TestAcc 0.6521
    Epoch 26:	Loss 0.64059	TrainAcc 0.8577	ValidAcc 0.8463	TestAcc 0.6536
    Epoch 27:	Loss 0.62842	TrainAcc 0.8590	ValidAcc 0.8477	TestAcc 0.6550
    Epoch 28:	Loss 0.61780	TrainAcc 0.8603	ValidAcc 0.8490	TestAcc 0.6572
    Epoch 29:	Loss 0.60923	TrainAcc 0.8619	ValidAcc 0.8507	TestAcc 0.6600
    Epoch 30:	Loss 0.60169	TrainAcc 0.8631	ValidAcc 0.8515	TestAcc 0.6623
    Epoch 31:	Loss 0.59361	TrainAcc 0.8647	ValidAcc 0.8526	TestAcc 0.6639
    Epoch 32:	Loss 0.58503	TrainAcc 0.8661	ValidAcc 0.8533	TestAcc 0.6645
    Epoch 33:	Loss 0.57715	TrainAcc 0.8672	ValidAcc 0.8547	TestAcc 0.6640
    Epoch 34:	Loss 0.57039	TrainAcc 0.8682	ValidAcc 0.8561	TestAcc 0.6634
    Epoch 35:	Loss 0.56438	TrainAcc 0.8691	ValidAcc 0.8573	TestAcc 0.6628
    Epoch 36:	Loss 0.55863	TrainAcc 0.8700	ValidAcc 0.8582	TestAcc 0.6629
