The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_arxiv
The number of GCN layers: 2
The number of hidden units: 256
The number of training epoches: -1
Learning rate: 0.000300
Initialized node g003.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 0.038 seconds.
Building the CSC structure...
        It takes 0.038 seconds.
Building the Feature Vector...
        It takes 0.053 seconds.
Building the Label Vector...
        It takes 0.020 seconds.
Number of classes: 40
Number of feature dimensions: 128
train nodes 90941, valid nodes 29799, test nodes 48603
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 40
    Number of vertices: 169343
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.74422	TrainAcc 0.0042	ValidAcc 0.0025	TestAcc 0.0027
    Epoch 1:	Loss 3.73097	TrainAcc 0.0043	ValidAcc 0.0024	TestAcc 0.0028
    Epoch 2:	Loss 3.71337	TrainAcc 0.0043	ValidAcc 0.0026	TestAcc 0.0028
    Epoch 3:	Loss 3.69317	TrainAcc 0.0051	ValidAcc 0.0029	TestAcc 0.0032
    Epoch 4:	Loss 3.67126	TrainAcc 0.0071	ValidAcc 0.0049	TestAcc 0.0052
    Epoch 5:	Loss 3.64817	TrainAcc 0.0228	ValidAcc 0.0338	TestAcc 0.0425
    Epoch 6:	Loss 3.62425	TrainAcc 0.0636	ValidAcc 0.1084	TestAcc 0.1602
    Epoch 7:	Loss 3.59971	TrainAcc 0.0950	ValidAcc 0.1516	TestAcc 0.2150
    Epoch 8:	Loss 3.57467	TrainAcc 0.1325	ValidAcc 0.1713	TestAcc 0.2327
    Epoch 9:	Loss 3.54922	TrainAcc 0.1775	ValidAcc 0.1897	TestAcc 0.2465
    Epoch 10:	Loss 3.52343	TrainAcc 0.2142	ValidAcc 0.2030	TestAcc 0.2575
    Epoch 11:	Loss 3.49737	TrainAcc 0.2365	ValidAcc 0.2111	TestAcc 0.2591
    Epoch 12:	Loss 3.47111	TrainAcc 0.2247	ValidAcc 0.1880	TestAcc 0.2267
    Epoch 13:	Loss 3.44466	TrainAcc 0.2019	ValidAcc 0.1366	TestAcc 0.1455
    Epoch 14:	Loss 3.41808	TrainAcc 0.1856	ValidAcc 0.0891	TestAcc 0.0746
    Epoch 15:	Loss 3.39145	TrainAcc 0.1809	ValidAcc 0.0794	TestAcc 0.0613
    Epoch 16:	Loss 3.36491	TrainAcc 0.1799	ValidAcc 0.0777	TestAcc 0.0596
    Epoch 17:	Loss 3.33859	TrainAcc 0.1795	ValidAcc 0.0769	TestAcc 0.0590
    Epoch 18:	Loss 3.31266	TrainAcc 0.1793	ValidAcc 0.0766	TestAcc 0.0588
    Epoch 19:	Loss 3.28725	TrainAcc 0.1792	ValidAcc 0.0765	TestAcc 0.0588
    Epoch 20:	Loss 3.26249	TrainAcc 0.1791	ValidAcc 0.0764	TestAcc 0.0587
    Epoch 21:	Loss 3.23852	TrainAcc 0.1791	ValidAcc 0.0764	TestAcc 0.0587
    Epoch 22:	Loss 3.21541	TrainAcc 0.1791	ValidAcc 0.0764	TestAcc 0.0587
    Epoch 23:	Loss 3.19326	TrainAcc 0.1791	ValidAcc 0.0764	TestAcc 0.0587
