The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_arxiv
The number of GCN layers: 2
The number of hidden units: 256
The number of training epoches: -1
Learning rate: 0.000300
Initialized node g003.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 0.037 seconds.
Building the CSC structure...
        It takes 0.037 seconds.
Building the Feature Vector...
        It takes 0.053 seconds.
Building the Label Vector...
        It takes 0.020 seconds.
Number of classes: 40
Number of feature dimensions: 128
train nodes 90941, valid nodes 29799, test nodes 48603
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 40
    Number of vertices: 169343
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.74422	TrainAcc 0.0042	ValidAcc 0.0025	TestAcc 0.0027
    Epoch 1:	Loss 3.73096	TrainAcc 0.0043	ValidAcc 0.0024	TestAcc 0.0028
    Epoch 2:	Loss 3.71336	TrainAcc 0.0043	ValidAcc 0.0026	TestAcc 0.0028
    Epoch 3:	Loss 3.69315	TrainAcc 0.0051	ValidAcc 0.0030	TestAcc 0.0032
    Epoch 4:	Loss 3.67123	TrainAcc 0.0072	ValidAcc 0.0049	TestAcc 0.0052
    Epoch 5:	Loss 3.64813	TrainAcc 0.0228	ValidAcc 0.0337	TestAcc 0.0424
    Epoch 6:	Loss 3.62418	TrainAcc 0.0637	ValidAcc 0.1085	TestAcc 0.1603
    Epoch 7:	Loss 3.59961	TrainAcc 0.0950	ValidAcc 0.1517	TestAcc 0.2150
    Epoch 8:	Loss 3.57453	TrainAcc 0.1326	ValidAcc 0.1714	TestAcc 0.2327
    Epoch 9:	Loss 3.54902	TrainAcc 0.1775	ValidAcc 0.1897	TestAcc 0.2463
    Epoch 10:	Loss 3.52315	TrainAcc 0.2142	ValidAcc 0.2031	TestAcc 0.2577
    Epoch 11:	Loss 3.49699	TrainAcc 0.2369	ValidAcc 0.2115	TestAcc 0.2596
    Epoch 12:	Loss 3.47058	TrainAcc 0.2258	ValidAcc 0.1892	TestAcc 0.2295
    Epoch 13:	Loss 3.44394	TrainAcc 0.2034	ValidAcc 0.1417	TestAcc 0.1524
    Epoch 14:	Loss 3.41712	TrainAcc 0.1864	ValidAcc 0.0910	TestAcc 0.0782
    Epoch 15:	Loss 3.39018	TrainAcc 0.1811	ValidAcc 0.0798	TestAcc 0.0619
    Epoch 16:	Loss 3.36325	TrainAcc 0.1800	ValidAcc 0.0779	TestAcc 0.0598
    Epoch 17:	Loss 3.33646	TrainAcc 0.1796	ValidAcc 0.0771	TestAcc 0.0592
    Epoch 18:	Loss 3.30998	TrainAcc 0.1794	ValidAcc 0.0767	TestAcc 0.0589
    Epoch 19:	Loss 3.28396	TrainAcc 0.1792	ValidAcc 0.0765	TestAcc 0.0588
    Epoch 20:	Loss 3.25854	TrainAcc 0.1792	ValidAcc 0.0765	TestAcc 0.0587
    Epoch 21:	Loss 3.23385	TrainAcc 0.1791	ValidAcc 0.0765	TestAcc 0.0587
    Epoch 22:	Loss 3.21002	TrainAcc 0.1791	ValidAcc 0.0765	TestAcc 0.0587
    Epoch 23:	Loss 3.18712	TrainAcc 0.1791	ValidAcc 0.0764	TestAcc 0.0587
    Epoch 24:	Loss 3.16523	TrainAcc 0.1791	ValidAcc 0.0764	TestAcc 0.0587
    Epoch 25:	Loss 3.14439	TrainAcc 0.1791	ValidAcc 0.0764	TestAcc 0.0587
    Epoch 26:	Loss 3.12465	TrainAcc 0.1791	ValidAcc 0.0764	TestAcc 0.0587
    Epoch 27:	Loss 3.10603	TrainAcc 0.1791	ValidAcc 0.0764	TestAcc 0.0587
    Epoch 28:	Loss 3.08851	TrainAcc 0.1791	ValidAcc 0.0764	TestAcc 0.0587
