The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_arxiv
The number of GCN layers: 2
The number of hidden units: 256
The number of training epoches: 5000
Learning rate: 0.010000
Initialized node g005.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 0.042 seconds.
Building the CSC structure...
        It takes 0.038 seconds.
Building the Feature Vector...
        It takes 0.073 seconds.
Building the Label Vector...
        It takes 0.025 seconds.
Number of classes: 40
Number of feature dimensions: 128
train nodes 90941, valid nodes 29799, test nodes 48603
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 40
    Number of vertices: 169343
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.74422	TrainAcc 0.0042	ValidAcc 0.0025	TestAcc 0.0027
    Epoch 1:	Loss 3.34681	TrainAcc 0.1803	ValidAcc 0.0784	TestAcc 0.0604
    Epoch 2:	Loss 3.07424	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 3:	Loss 3.03217	TrainAcc 0.2585	ValidAcc 0.2912	TestAcc 0.2613
    Epoch 4:	Loss 2.90449	TrainAcc 0.2999	ValidAcc 0.3084	TestAcc 0.2771
    Epoch 5:	Loss 2.77192	TrainAcc 0.2330	ValidAcc 0.1867	TestAcc 0.2088
    Epoch 6:	Loss 2.66196	TrainAcc 0.3374	ValidAcc 0.3935	TestAcc 0.4164
    Epoch 7:	Loss 2.52290	TrainAcc 0.3617	ValidAcc 0.3656	TestAcc 0.3336
    Epoch 8:	Loss 2.38645	TrainAcc 0.3829	ValidAcc 0.3800	TestAcc 0.3489
    Epoch 9:	Loss 2.28375	TrainAcc 0.4325	ValidAcc 0.4456	TestAcc 0.4371
    Epoch 10:	Loss 2.17916	TrainAcc 0.4750	ValidAcc 0.4919	TestAcc 0.4857
    Epoch 11:	Loss 2.06711	TrainAcc 0.5024	ValidAcc 0.5207	TestAcc 0.5143
    Epoch 12:	Loss 1.97271	TrainAcc 0.5027	ValidAcc 0.5280	TestAcc 0.5252
    Epoch 13:	Loss 1.89019	TrainAcc 0.5173	ValidAcc 0.5390	TestAcc 0.5338
    Epoch 14:	Loss 1.81528	TrainAcc 0.5328	ValidAcc 0.5643	TestAcc 0.5667
    Epoch 15:	Loss 1.75290	TrainAcc 0.5365	ValidAcc 0.5577	TestAcc 0.5525
    Epoch 16:	Loss 1.69685	TrainAcc 0.5419	ValidAcc 0.5588	TestAcc 0.5568
    Epoch 17:	Loss 1.64367	TrainAcc 0.5527	ValidAcc 0.5686	TestAcc 0.5579
    Epoch 18:	Loss 1.60526	TrainAcc 0.5716	ValidAcc 0.5944	TestAcc 0.5871
    Epoch 19:	Loss 1.56300	TrainAcc 0.5827	ValidAcc 0.6022	TestAcc 0.5950
    Epoch 20:	Loss 1.52797	TrainAcc 0.5856	ValidAcc 0.6034	TestAcc 0.6004
    Epoch 21:	Loss 1.50087	TrainAcc 0.5875	ValidAcc 0.5981	TestAcc 0.5910
    Epoch 22:	Loss 1.47086	TrainAcc 0.5950	ValidAcc 0.6114	TestAcc 0.6071
    Epoch 23:	Loss 1.44740	TrainAcc 0.6026	ValidAcc 0.6143	TestAcc 0.6042
    Epoch 24:	Loss 1.42734	TrainAcc 0.6075	ValidAcc 0.6258	TestAcc 0.6267
    Epoch 25:	Loss 1.40546	TrainAcc 0.6109	ValidAcc 0.6197	TestAcc 0.6072
    Epoch 26:	Loss 1.38660	TrainAcc 0.6127	ValidAcc 0.6270	TestAcc 0.6252
    Epoch 27:	Loss 1.36889	TrainAcc 0.6175	ValidAcc 0.6302	TestAcc 0.6252
    Epoch 28:	Loss 1.35414	TrainAcc 0.6215	ValidAcc 0.6307	TestAcc 0.6225
    Epoch 29:	Loss 1.33896	TrainAcc 0.6237	ValidAcc 0.6358	TestAcc 0.6338
    Epoch 30:	Loss 1.32610	TrainAcc 0.6255	ValidAcc 0.6345	TestAcc 0.6252
    Epoch 31:	Loss 1.31247	TrainAcc 0.6290	ValidAcc 0.6402	TestAcc 0.6348
    Epoch 32:	Loss 1.30072	TrainAcc 0.6321	ValidAcc 0.6439	TestAcc 0.6415
    Epoch 33:	Loss 1.29083	TrainAcc 0.6343	ValidAcc 0.6406	TestAcc 0.6321
    Epoch 34:	Loss 1.27960	TrainAcc 0.6357	ValidAcc 0.6459	TestAcc 0.6415
    Epoch 35:	Loss 1.26951	TrainAcc 0.6374	ValidAcc 0.6487	TestAcc 0.6435
    Epoch 36:	Loss 1.26118	TrainAcc 0.6396	ValidAcc 0.6454	TestAcc 0.6375
    Epoch 37:	Loss 1.25181	TrainAcc 0.6424	ValidAcc 0.6533	TestAcc 0.6476
    Epoch 38:	Loss 1.24331	TrainAcc 0.6439	ValidAcc 0.6554	TestAcc 0.6493
    Epoch 39:	Loss 1.23566	TrainAcc 0.6453	ValidAcc 0.6507	TestAcc 0.6429
    Epoch 40:	Loss 1.22792	TrainAcc 0.6469	ValidAcc 0.6567	TestAcc 0.6506
    Epoch 41:	Loss 1.22079	TrainAcc 0.6489	ValidAcc 0.6595	TestAcc 0.6544
    Epoch 42:	Loss 1.21431	TrainAcc 0.6504	ValidAcc 0.6582	TestAcc 0.6502
    Epoch 43:	Loss 1.20766	TrainAcc 0.6521	ValidAcc 0.6614	TestAcc 0.6551
    Epoch 44:	Loss 1.20143	TrainAcc 0.6537	ValidAcc 0.6631	TestAcc 0.6581
    Epoch 45:	Loss 1.19581	TrainAcc 0.6552	ValidAcc 0.6629	TestAcc 0.6548
    Epoch 46:	Loss 1.19011	TrainAcc 0.6563	ValidAcc 0.6660	TestAcc 0.6583
    Epoch 47:	Loss 1.18493	TrainAcc 0.6578	ValidAcc 0.6671	TestAcc 0.6607
    Epoch 48:	Loss 1.17980	TrainAcc 0.6594	ValidAcc 0.6674	TestAcc 0.6592
