The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_products
The number of GCN layers: 2
The number of hidden units: 64
The number of training epoches: -1
Learning rate: 0.003000
Initialized node g003.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 1.874 seconds.
Building the CSC structure...
        It takes 1.819 seconds.
Building the Feature Vector...
        It takes 0.583 seconds.
Building the Label Vector...
        It takes 0.397 seconds.
Number of classes: 47
Number of feature dimensions: 100
train nodes 196615, valid nodes 39323, test nodes 2213091
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 47
    Number of vertices: 2449029
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 4.00595	TrainAcc 0.0137	ValidAcc 0.0152	TestAcc 0.0174
    Epoch 1:	Loss 3.89639	TrainAcc 0.0274	ValidAcc 0.0270	TestAcc 0.0263
    Epoch 2:	Loss 3.75316	TrainAcc 0.0570	ValidAcc 0.0571	TestAcc 0.0464
    Epoch 3:	Loss 3.59167	TrainAcc 0.1384	ValidAcc 0.1296	TestAcc 0.0942
    Epoch 4:	Loss 3.42031	TrainAcc 0.2307	ValidAcc 0.2205	TestAcc 0.1571
    Epoch 5:	Loss 3.24447	TrainAcc 0.3507	ValidAcc 0.3374	TestAcc 0.2334
    Epoch 6:	Loss 3.06791	TrainAcc 0.4696	ValidAcc 0.4499	TestAcc 0.3107
    Epoch 7:	Loss 2.89320	TrainAcc 0.5671	ValidAcc 0.5401	TestAcc 0.3749
    Epoch 8:	Loss 2.72234	TrainAcc 0.6272	ValidAcc 0.6012	TestAcc 0.4237
    Epoch 9:	Loss 2.55702	TrainAcc 0.6608	ValidAcc 0.6399	TestAcc 0.4582
    Epoch 10:	Loss 2.39872	TrainAcc 0.6811	ValidAcc 0.6651	TestAcc 0.4830
    Epoch 11:	Loss 2.24860	TrainAcc 0.6959	ValidAcc 0.6824	TestAcc 0.5015
    Epoch 12:	Loss 2.10752	TrainAcc 0.7080	ValidAcc 0.6971	TestAcc 0.5166
    Epoch 13:	Loss 1.97600	TrainAcc 0.7180	ValidAcc 0.7086	TestAcc 0.5289
    Epoch 14:	Loss 1.85429	TrainAcc 0.7270	ValidAcc 0.7184	TestAcc 0.5397
    Epoch 15:	Loss 1.74240	TrainAcc 0.7357	ValidAcc 0.7277	TestAcc 0.5495
    Epoch 16:	Loss 1.64020	TrainAcc 0.7428	ValidAcc 0.7365	TestAcc 0.5584
    Epoch 17:	Loss 1.54746	TrainAcc 0.7498	ValidAcc 0.7435	TestAcc 0.5661
    Epoch 18:	Loss 1.46386	TrainAcc 0.7564	ValidAcc 0.7493	TestAcc 0.5726
    Epoch 19:	Loss 1.38900	TrainAcc 0.7618	ValidAcc 0.7537	TestAcc 0.5784
    Epoch 20:	Loss 1.32237	TrainAcc 0.7668	ValidAcc 0.7590	TestAcc 0.5837
    Epoch 21:	Loss 1.26329	TrainAcc 0.7713	ValidAcc 0.7637	TestAcc 0.5889
    Epoch 22:	Loss 1.21098	TrainAcc 0.7760	ValidAcc 0.7680	TestAcc 0.5936
    Epoch 23:	Loss 1.16456	TrainAcc 0.7798	ValidAcc 0.7723	TestAcc 0.5982
    Epoch 24:	Loss 1.12317	TrainAcc 0.7837	ValidAcc 0.7763	TestAcc 0.6028
    Epoch 25:	Loss 1.08597	TrainAcc 0.7875	ValidAcc 0.7801	TestAcc 0.6074
    Epoch 26:	Loss 1.05226	TrainAcc 0.7915	ValidAcc 0.7833	TestAcc 0.6118
    Epoch 27:	Loss 1.02147	TrainAcc 0.7955	ValidAcc 0.7876	TestAcc 0.6162
    Epoch 28:	Loss 0.99315	TrainAcc 0.7998	ValidAcc 0.7917	TestAcc 0.6208
    Epoch 29:	Loss 0.96699	TrainAcc 0.8039	ValidAcc 0.7964	TestAcc 0.6252
    Epoch 30:	Loss 0.94275	TrainAcc 0.8078	ValidAcc 0.8011	TestAcc 0.6296
    Epoch 31:	Loss 0.92023	TrainAcc 0.8123	ValidAcc 0.8055	TestAcc 0.6341
    Epoch 32:	Loss 0.89930	TrainAcc 0.8162	ValidAcc 0.8091	TestAcc 0.6383
    Epoch 33:	Loss 0.87983	TrainAcc 0.8196	ValidAcc 0.8124	TestAcc 0.6422
    Epoch 34:	Loss 0.86171	TrainAcc 0.8228	ValidAcc 0.8153	TestAcc 0.6458
    Epoch 35:	Loss 0.84487	TrainAcc 0.8255	ValidAcc 0.8182	TestAcc 0.6490
    Epoch 36:	Loss 0.82921	TrainAcc 0.8277	ValidAcc 0.8210	TestAcc 0.6521
    Epoch 37:	Loss 0.81467	TrainAcc 0.8300	ValidAcc 0.8238	TestAcc 0.6549
    Epoch 38:	Loss 0.80118	TrainAcc 0.8319	ValidAcc 0.8264	TestAcc 0.6575
    Epoch 39:	Loss 0.78867	TrainAcc 0.8337	ValidAcc 0.8284	TestAcc 0.6599
    Epoch 40:	Loss 0.77706	TrainAcc 0.8358	ValidAcc 0.8300	TestAcc 0.6622
    Epoch 41:	Loss 0.76629	TrainAcc 0.8377	ValidAcc 0.8314	TestAcc 0.6642
    Epoch 42:	Loss 0.75629	TrainAcc 0.8396	ValidAcc 0.8329	TestAcc 0.6661
    Epoch 43:	Loss 0.74699	TrainAcc 0.8412	ValidAcc 0.8346	TestAcc 0.6680
    Epoch 44:	Loss 0.73830	TrainAcc 0.8427	ValidAcc 0.8363	TestAcc 0.6698
    Epoch 45:	Loss 0.73015	TrainAcc 0.8442	ValidAcc 0.8381	TestAcc 0.6715
    Epoch 46:	Loss 0.72248	TrainAcc 0.8458	ValidAcc 0.8397	TestAcc 0.6731
    Epoch 47:	Loss 0.71521	TrainAcc 0.8468	ValidAcc 0.8411	TestAcc 0.6746
    Epoch 48:	Loss 0.70829	TrainAcc 0.8482	ValidAcc 0.8426	TestAcc 0.6760
    Epoch 49:	Loss 0.70168	TrainAcc 0.8491	ValidAcc 0.8440	TestAcc 0.6773
    Epoch 50:	Loss 0.69534	TrainAcc 0.8503	ValidAcc 0.8452	TestAcc 0.6786
    Epoch 51:	Loss 0.68927	TrainAcc 0.8514	ValidAcc 0.8464	TestAcc 0.6796
    Epoch 52:	Loss 0.68345	TrainAcc 0.8524	ValidAcc 0.8472	TestAcc 0.6806
    Epoch 53:	Loss 0.67786	TrainAcc 0.8533	ValidAcc 0.8481	TestAcc 0.6816
    Epoch 54:	Loss 0.67251	TrainAcc 0.8544	ValidAcc 0.8490	TestAcc 0.6824
    Epoch 55:	Loss 0.66738	TrainAcc 0.8553	ValidAcc 0.8496	TestAcc 0.6832
    Epoch 56:	Loss 0.66248	TrainAcc 0.8560	ValidAcc 0.8502	TestAcc 0.6840
    Epoch 57:	Loss 0.65778	TrainAcc 0.8569	ValidAcc 0.8510	TestAcc 0.6846
    Epoch 58:	Loss 0.65329	TrainAcc 0.8579	ValidAcc 0.8515	TestAcc 0.6853
    Epoch 59:	Loss 0.64899	TrainAcc 0.8589	ValidAcc 0.8523	TestAcc 0.6859
    Epoch 60:	Loss 0.64486	TrainAcc 0.8595	ValidAcc 0.8535	TestAcc 0.6866
    Epoch 61:	Loss 0.64091	TrainAcc 0.8603	ValidAcc 0.8543	TestAcc 0.6872
    Epoch 62:	Loss 0.63711	TrainAcc 0.8609	ValidAcc 0.8550	TestAcc 0.6878
    Epoch 63:	Loss 0.63346	TrainAcc 0.8614	ValidAcc 0.8557	TestAcc 0.6885
    Epoch 64:	Loss 0.62995	TrainAcc 0.8620	ValidAcc 0.8564	TestAcc 0.6890
    Epoch 65:	Loss 0.62658	TrainAcc 0.8625	ValidAcc 0.8571	TestAcc 0.6897
    Epoch 66:	Loss 0.62333	TrainAcc 0.8630	ValidAcc 0.8573	TestAcc 0.6902
    Epoch 67:	Loss 0.62020	TrainAcc 0.8636	ValidAcc 0.8579	TestAcc 0.6908
    Epoch 68:	Loss 0.61718	TrainAcc 0.8644	ValidAcc 0.8582	TestAcc 0.6914
    Epoch 69:	Loss 0.61428	TrainAcc 0.8652	ValidAcc 0.8589	TestAcc 0.6919
    Epoch 70:	Loss 0.61147	TrainAcc 0.8657	ValidAcc 0.8593	TestAcc 0.6925
    Epoch 71:	Loss 0.60875	TrainAcc 0.8661	ValidAcc 0.8598	TestAcc 0.6930
    Epoch 72:	Loss 0.60613	TrainAcc 0.8666	ValidAcc 0.8602	TestAcc 0.6935
    Epoch 73:	Loss 0.60359	TrainAcc 0.8670	ValidAcc 0.8606	TestAcc 0.6941
    Epoch 74:	Loss 0.60113	TrainAcc 0.8675	ValidAcc 0.8611	TestAcc 0.6945
    Epoch 75:	Loss 0.59874	TrainAcc 0.8680	ValidAcc 0.8616	TestAcc 0.6950
    Epoch 76:	Loss 0.59643	TrainAcc 0.8686	ValidAcc 0.8621	TestAcc 0.6954
    Epoch 77:	Loss 0.59418	TrainAcc 0.8690	ValidAcc 0.8626	TestAcc 0.6958
    Epoch 78:	Loss 0.59200	TrainAcc 0.8695	ValidAcc 0.8630	TestAcc 0.6962
    Epoch 79:	Loss 0.58989	TrainAcc 0.8698	ValidAcc 0.8634	TestAcc 0.6966
    Epoch 80:	Loss 0.58783	TrainAcc 0.8701	ValidAcc 0.8639	TestAcc 0.6970
    Epoch 81:	Loss 0.58583	TrainAcc 0.8705	ValidAcc 0.8643	TestAcc 0.6974
    Epoch 82:	Loss 0.58388	TrainAcc 0.8708	ValidAcc 0.8646	TestAcc 0.6977
    Epoch 83:	Loss 0.58199	TrainAcc 0.8713	ValidAcc 0.8649	TestAcc 0.6981
    Epoch 84:	Loss 0.58015	TrainAcc 0.8716	ValidAcc 0.8653	TestAcc 0.6984
    Epoch 85:	Loss 0.57835	TrainAcc 0.8719	ValidAcc 0.8657	TestAcc 0.6987
    Epoch 86:	Loss 0.57659	TrainAcc 0.8722	ValidAcc 0.8659	TestAcc 0.6991
    Epoch 87:	Loss 0.57487	TrainAcc 0.8725	ValidAcc 0.8663	TestAcc 0.6994
    Epoch 88:	Loss 0.57320	TrainAcc 0.8729	ValidAcc 0.8666	TestAcc 0.6997
    Epoch 89:	Loss 0.57156	TrainAcc 0.8732	ValidAcc 0.8669	TestAcc 0.7000
    Epoch 90:	Loss 0.56995	TrainAcc 0.8735	ValidAcc 0.8671	TestAcc 0.7003
    Epoch 91:	Loss 0.56838	TrainAcc 0.8738	ValidAcc 0.8678	TestAcc 0.7006
    Epoch 92:	Loss 0.56684	TrainAcc 0.8740	ValidAcc 0.8681	TestAcc 0.7009
    Epoch 93:	Loss 0.56534	TrainAcc 0.8743	ValidAcc 0.8681	TestAcc 0.7011
    Epoch 94:	Loss 0.56386	TrainAcc 0.8746	ValidAcc 0.8684	TestAcc 0.7014
    Epoch 95:	Loss 0.56242	TrainAcc 0.8749	ValidAcc 0.8686	TestAcc 0.7016
