The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_products
The number of GCN layers: 3
The number of hidden units: 256
The number of training epoches: 5000
Learning rate: 0.001000
Initialized node g004.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 1.925 seconds.
Building the CSC structure...
        It takes 1.897 seconds.
Building the Feature Vector...
        It takes 0.574 seconds.
Building the Label Vector...
        It takes 0.310 seconds.
Number of classes: 47
Number of feature dimensions: 100
train nodes 196615, valid nodes 39323, test nodes 2213091
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 47
    Number of vertices: 2449029
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.87108	TrainAcc 0.0016	ValidAcc 0.0023	TestAcc 0.0044
    Epoch 1:	Loss 3.69192	TrainAcc 0.1776	ValidAcc 0.1678	TestAcc 0.1254
    Epoch 2:	Loss 3.46527	TrainAcc 0.3468	ValidAcc 0.3543	TestAcc 0.3101
    Epoch 3:	Loss 3.22420	TrainAcc 0.3332	ValidAcc 0.3388	TestAcc 0.2983
    Epoch 4:	Loss 2.98985	TrainAcc 0.3239	ValidAcc 0.3269	TestAcc 0.2863
    Epoch 5:	Loss 2.77425	TrainAcc 0.3231	ValidAcc 0.3254	TestAcc 0.2836
    Epoch 6:	Loss 2.57703	TrainAcc 0.3388	ValidAcc 0.3433	TestAcc 0.2965
    Epoch 7:	Loss 2.38776	TrainAcc 0.3885	ValidAcc 0.3942	TestAcc 0.3305
    Epoch 8:	Loss 2.20292	TrainAcc 0.4482	ValidAcc 0.4516	TestAcc 0.3730
    Epoch 9:	Loss 2.03401	TrainAcc 0.5079	ValidAcc 0.5109	TestAcc 0.4086
    Epoch 10:	Loss 1.89171	TrainAcc 0.5608	ValidAcc 0.5617	TestAcc 0.4398
    Epoch 11:	Loss 1.77416	TrainAcc 0.6215	ValidAcc 0.6182	TestAcc 0.4763
    Epoch 12:	Loss 1.67134	TrainAcc 0.6669	ValidAcc 0.6594	TestAcc 0.5070
    Epoch 13:	Loss 1.57520	TrainAcc 0.6975	ValidAcc 0.6905	TestAcc 0.5303
    Epoch 14:	Loss 1.48431	TrainAcc 0.7222	ValidAcc 0.7174	TestAcc 0.5499
    Epoch 15:	Loss 1.40139	TrainAcc 0.7424	ValidAcc 0.7364	TestAcc 0.5630
    Epoch 16:	Loss 1.32885	TrainAcc 0.7523	ValidAcc 0.7444	TestAcc 0.5694
    Epoch 17:	Loss 1.26627	TrainAcc 0.7589	ValidAcc 0.7504	TestAcc 0.5748
    Epoch 18:	Loss 1.21091	TrainAcc 0.7686	ValidAcc 0.7617	TestAcc 0.5839
    Epoch 19:	Loss 1.15984	TrainAcc 0.7803	ValidAcc 0.7723	TestAcc 0.5933
    Epoch 20:	Loss 1.11167	TrainAcc 0.7896	ValidAcc 0.7820	TestAcc 0.6048
    Epoch 21:	Loss 1.06713	TrainAcc 0.7977	ValidAcc 0.7912	TestAcc 0.6181
    Epoch 22:	Loss 1.02739	TrainAcc 0.8035	ValidAcc 0.7974	TestAcc 0.6293
    Epoch 23:	Loss 0.99242	TrainAcc 0.8075	ValidAcc 0.8023	TestAcc 0.6387
    Epoch 24:	Loss 0.96110	TrainAcc 0.8127	ValidAcc 0.8085	TestAcc 0.6462
    Epoch 25:	Loss 0.93244	TrainAcc 0.8168	ValidAcc 0.8128	TestAcc 0.6507
    Epoch 26:	Loss 0.90592	TrainAcc 0.8214	ValidAcc 0.8178	TestAcc 0.6539
    Epoch 27:	Loss 0.88145	TrainAcc 0.8252	ValidAcc 0.8210	TestAcc 0.6567
    Epoch 28:	Loss 0.85899	TrainAcc 0.8297	ValidAcc 0.8250	TestAcc 0.6595
    Epoch 29:	Loss 0.83842	TrainAcc 0.8331	ValidAcc 0.8289	TestAcc 0.6619
    Epoch 30:	Loss 0.81960	TrainAcc 0.8367	ValidAcc 0.8318	TestAcc 0.6637
    Epoch 31:	Loss 0.80233	TrainAcc 0.8392	ValidAcc 0.8343	TestAcc 0.6655
    Epoch 32:	Loss 0.78638	TrainAcc 0.8409	ValidAcc 0.8362	TestAcc 0.6674
    Epoch 33:	Loss 0.77147	TrainAcc 0.8423	ValidAcc 0.8378	TestAcc 0.6699
    Epoch 34:	Loss 0.75740	TrainAcc 0.8441	ValidAcc 0.8393	TestAcc 0.6729
    Epoch 35:	Loss 0.74416	TrainAcc 0.8459	ValidAcc 0.8406	TestAcc 0.6757
    Epoch 36:	Loss 0.73183	TrainAcc 0.8475	ValidAcc 0.8421	TestAcc 0.6783
    Epoch 37:	Loss 0.72041	TrainAcc 0.8494	ValidAcc 0.8433	TestAcc 0.6805
    Epoch 38:	Loss 0.70970	TrainAcc 0.8510	ValidAcc 0.8445	TestAcc 0.6827
    Epoch 39:	Loss 0.69947	TrainAcc 0.8525	ValidAcc 0.8463	TestAcc 0.6848
    Epoch 40:	Loss 0.68965	TrainAcc 0.8539	ValidAcc 0.8476	TestAcc 0.6869
    Epoch 41:	Loss 0.68035	TrainAcc 0.8552	ValidAcc 0.8499	TestAcc 0.6887
    Epoch 42:	Loss 0.67172	TrainAcc 0.8563	ValidAcc 0.8517	TestAcc 0.6903
    Epoch 43:	Loss 0.66381	TrainAcc 0.8576	ValidAcc 0.8536	TestAcc 0.6916
    Epoch 44:	Loss 0.65655	TrainAcc 0.8588	ValidAcc 0.8555	TestAcc 0.6927
