The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_arxiv
The number of GCN layers: 3
The number of hidden units: 64
The number of training epoches: -1
Learning rate: 0.003000
Initialized node g003.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 0.043 seconds.
Building the CSC structure...
        It takes 0.038 seconds.
Building the Feature Vector...
        It takes 0.108 seconds.
Building the Label Vector...
        It takes 0.024 seconds.
Number of classes: 40
Number of feature dimensions: 128
train nodes 90941, valid nodes 29799, test nodes 48603
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 40
    Number of vertices: 169343
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.68977	TrainAcc 0.0289	ValidAcc 0.0204	TestAcc 0.0176
    Epoch 1:	Loss 3.65207	TrainAcc 0.0518	ValidAcc 0.0972	TestAcc 0.1449
    Epoch 2:	Loss 3.60563	TrainAcc 0.1259	ValidAcc 0.1672	TestAcc 0.2331
    Epoch 3:	Loss 3.54928	TrainAcc 0.1950	ValidAcc 0.1350	TestAcc 0.1522
    Epoch 4:	Loss 3.47691	TrainAcc 0.1791	ValidAcc 0.0764	TestAcc 0.0587
    Epoch 5:	Loss 3.38791	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 6:	Loss 3.28962	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 7:	Loss 3.20101	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 8:	Loss 3.13857	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 9:	Loss 3.09057	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 10:	Loss 3.06061	TrainAcc 0.2593	ValidAcc 0.2751	TestAcc 0.2525
    Epoch 11:	Loss 3.05648	TrainAcc 0.2735	ValidAcc 0.2966	TestAcc 0.2658
    Epoch 12:	Loss 3.02627	TrainAcc 0.2772	ValidAcc 0.2988	TestAcc 0.2673
    Epoch 13:	Loss 2.97156	TrainAcc 0.2741	ValidAcc 0.2975	TestAcc 0.2679
    Epoch 14:	Loss 2.92056	TrainAcc 0.2322	ValidAcc 0.2011	TestAcc 0.1850
    Epoch 15:	Loss 2.88147	TrainAcc 0.1998	ValidAcc 0.1145	TestAcc 0.0952
    Epoch 16:	Loss 2.84132	TrainAcc 0.2688	ValidAcc 0.2777	TestAcc 0.2562
    Epoch 17:	Loss 2.80063	TrainAcc 0.3101	ValidAcc 0.3496	TestAcc 0.3308
    Epoch 18:	Loss 2.75523	TrainAcc 0.3193	ValidAcc 0.3462	TestAcc 0.3241
    Epoch 19:	Loss 2.70638	TrainAcc 0.3136	ValidAcc 0.3319	TestAcc 0.3033
    Epoch 20:	Loss 2.65987	TrainAcc 0.3135	ValidAcc 0.3288	TestAcc 0.3005
    Epoch 21:	Loss 2.61362	TrainAcc 0.3296	ValidAcc 0.3427	TestAcc 0.3167
    Epoch 22:	Loss 2.56681	TrainAcc 0.3637	ValidAcc 0.3776	TestAcc 0.3575
    Epoch 23:	Loss 2.52182	TrainAcc 0.4030	ValidAcc 0.4215	TestAcc 0.4061
