The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_arxiv
The number of GCN layers: 3
The number of hidden units: 256
The number of training epoches: 5000
Learning rate: 0.001000
Initialized node g004.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 0.023 seconds.
Building the CSC structure...
        It takes 0.020 seconds.
Building the Feature Vector...
        It takes 0.061 seconds.
Building the Label Vector...
        It takes 0.024 seconds.
Number of classes: 40
Number of feature dimensions: 128
train nodes 90941, valid nodes 29799, test nodes 48603
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 40
    Number of vertices: 169343
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.75513	TrainAcc 0.0131	ValidAcc 0.0113	TestAcc 0.0099
    Epoch 1:	Loss 3.61044	TrainAcc 0.0612	ValidAcc 0.0427	TestAcc 0.0371
    Epoch 2:	Loss 3.45528	TrainAcc 0.2628	ValidAcc 0.2594	TestAcc 0.2188
    Epoch 3:	Loss 3.31982	TrainAcc 0.2700	ValidAcc 0.2755	TestAcc 0.2362
    Epoch 4:	Loss 3.20645	TrainAcc 0.2695	ValidAcc 0.2715	TestAcc 0.2310
    Epoch 5:	Loss 3.11982	TrainAcc 0.2627	ValidAcc 0.2529	TestAcc 0.2133
    Epoch 6:	Loss 3.05808	TrainAcc 0.2790	ValidAcc 0.2874	TestAcc 0.2687
    Epoch 7:	Loss 2.99813	TrainAcc 0.2938	ValidAcc 0.3211	TestAcc 0.3044
    Epoch 8:	Loss 2.96073	TrainAcc 0.3118	ValidAcc 0.3518	TestAcc 0.3070
    Epoch 9:	Loss 2.90818	TrainAcc 0.3216	ValidAcc 0.3588	TestAcc 0.3119
    Epoch 10:	Loss 2.84021	TrainAcc 0.3146	ValidAcc 0.3530	TestAcc 0.3264
    Epoch 11:	Loss 2.78514	TrainAcc 0.3273	ValidAcc 0.3734	TestAcc 0.3670
    Epoch 12:	Loss 2.73045	TrainAcc 0.3357	ValidAcc 0.3833	TestAcc 0.3785
    Epoch 13:	Loss 2.66747	TrainAcc 0.3525	ValidAcc 0.4004	TestAcc 0.3877
