The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_arxiv
The number of GCN layers: 3
The number of hidden units: 256
The number of training epoches: 2000
Learning rate: 0.010000
Initialized node g002.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 0.023 seconds.
Building the CSC structure...
        It takes 0.021 seconds.
Building the Feature Vector...
        It takes 0.066 seconds.
Building the Label Vector...
        It takes 0.023 seconds.
Number of classes: 40
Number of feature dimensions: 128
train nodes 90941, valid nodes 29799, test nodes 48603
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 40
    Number of vertices: 169343
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.96680	TrainAcc 0.0089	ValidAcc 0.0040	TestAcc 0.0041
    Epoch 1:	Loss 4.49848	TrainAcc 0.1876	ValidAcc 0.1065	TestAcc 0.1031
    Epoch 2:	Loss 6.51909	TrainAcc 0.1502	ValidAcc 0.2850	TestAcc 0.2599
    Epoch 3:	Loss 8.65798	TrainAcc 0.0053	ValidAcc 0.0047	TestAcc 0.0077
    Epoch 4:	Loss 10.76283	TrainAcc 0.0769	ValidAcc 0.1496	TestAcc 0.2210
    Epoch 5:	Loss 5.70448	TrainAcc 0.2570	ValidAcc 0.2342	TestAcc 0.1924
    Epoch 6:	Loss 9.17386	TrainAcc 0.1345	ValidAcc 0.2455	TestAcc 0.2284
    Epoch 7:	Loss 10.14400	TrainAcc 0.0243	ValidAcc 0.0150	TestAcc 0.0129
    Epoch 8:	Loss 8.25706	TrainAcc 0.0859	ValidAcc 0.1018	TestAcc 0.0917
    Epoch 9:	Loss 6.08079	TrainAcc 0.0799	ValidAcc 0.0642	TestAcc 0.0538
    Epoch 10:	Loss 6.48600	TrainAcc 0.2253	ValidAcc 0.1052	TestAcc 0.0821
    Epoch 11:	Loss 10.00982	TrainAcc 0.2305	ValidAcc 0.2096	TestAcc 0.2523
    Epoch 12:	Loss 8.67630	TrainAcc 0.1023	ValidAcc 0.0769	TestAcc 0.0641
    Epoch 13:	Loss 6.73448	TrainAcc 0.2062	ValidAcc 0.2255	TestAcc 0.1946
    Epoch 14:	Loss 7.39131	TrainAcc 0.2879	ValidAcc 0.3041	TestAcc 0.2678
    Epoch 15:	Loss 7.21817	TrainAcc 0.2630	ValidAcc 0.2188	TestAcc 0.1803
    Epoch 16:	Loss 7.38066	TrainAcc 0.1716	ValidAcc 0.1721	TestAcc 0.1531
    Epoch 17:	Loss 5.51898	TrainAcc 0.2683	ValidAcc 0.2453	TestAcc 0.1956
    Epoch 18:	Loss 5.21195	TrainAcc 0.2836	ValidAcc 0.2522	TestAcc 0.2099
    Epoch 19:	Loss 4.44641	TrainAcc 0.3282	ValidAcc 0.3207	TestAcc 0.2777
    Epoch 20:	Loss 4.01889	TrainAcc 0.3200	ValidAcc 0.2794	TestAcc 0.2783
    Epoch 21:	Loss 3.71807	TrainAcc 0.3438	ValidAcc 0.3211	TestAcc 0.2933
    Epoch 22:	Loss 3.20403	TrainAcc 0.4220	ValidAcc 0.4357	TestAcc 0.3844
    Epoch 23:	Loss 3.31286	TrainAcc 0.4142	ValidAcc 0.4320	TestAcc 0.3828
    Epoch 24:	Loss 3.16049	TrainAcc 0.3660	ValidAcc 0.3340	TestAcc 0.2876
