The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_products
The number of GCN layers: 3
The number of hidden units: 256
The number of training epoches: 2000
Learning rate: 0.005000
Initialized node g002.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 1.885 seconds.
Building the CSC structure...
        It takes 1.846 seconds.
Building the Feature Vector...
        It takes 0.608 seconds.
Building the Label Vector...
        It takes 0.329 seconds.
Number of classes: 47
Number of feature dimensions: 100
train nodes 196615, valid nodes 39323, test nodes 2213091
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 47
    Number of vertices: 2449029
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.88390	TrainAcc 0.0313	ValidAcc 0.0291	TestAcc 0.0260
    Epoch 1:	Loss 2.63796	TrainAcc 0.6201	ValidAcc 0.6143	TestAcc 0.4515
    Epoch 2:	Loss 1.69207	TrainAcc 0.7246	ValidAcc 0.7204	TestAcc 0.5502
    Epoch 3:	Loss 1.18998	TrainAcc 0.7756	ValidAcc 0.7691	TestAcc 0.5944
    Epoch 4:	Loss 0.97388	TrainAcc 0.8058	ValidAcc 0.7967	TestAcc 0.6191
    Epoch 5:	Loss 0.89705	TrainAcc 0.8210	ValidAcc 0.8129	TestAcc 0.6338
    Epoch 6:	Loss 0.85371	TrainAcc 0.8333	ValidAcc 0.8238	TestAcc 0.6493
    Epoch 7:	Loss 0.81885	TrainAcc 0.8410	ValidAcc 0.8323	TestAcc 0.6636
    Epoch 8:	Loss 0.79792	TrainAcc 0.8463	ValidAcc 0.8367	TestAcc 0.6752
    Epoch 9:	Loss 0.78846	TrainAcc 0.8471	ValidAcc 0.8356	TestAcc 0.6795
    Epoch 10:	Loss 0.76434	TrainAcc 0.8548	ValidAcc 0.8445	TestAcc 0.6976
    Epoch 11:	Loss 0.75512	TrainAcc 0.8572	ValidAcc 0.8463	TestAcc 0.6974
    Epoch 12:	Loss 0.73590	TrainAcc 0.8603	ValidAcc 0.8490	TestAcc 0.6960
    Epoch 13:	Loss 0.71372	TrainAcc 0.8634	ValidAcc 0.8516	TestAcc 0.6962
    Epoch 14:	Loss 0.69638	TrainAcc 0.8634	ValidAcc 0.8501	TestAcc 0.6897
    Epoch 15:	Loss 0.67669	TrainAcc 0.8642	ValidAcc 0.8522	TestAcc 0.6889
    Epoch 16:	Loss 0.65899	TrainAcc 0.8649	ValidAcc 0.8550	TestAcc 0.6861
    Epoch 17:	Loss 0.64282	TrainAcc 0.8667	ValidAcc 0.8558	TestAcc 0.6837
    Epoch 18:	Loss 0.62468	TrainAcc 0.8691	ValidAcc 0.8580	TestAcc 0.6870
    Epoch 19:	Loss 0.60711	TrainAcc 0.8714	ValidAcc 0.8594	TestAcc 0.6929
    Epoch 20:	Loss 0.59550	TrainAcc 0.8718	ValidAcc 0.8609	TestAcc 0.6952
    Epoch 21:	Loss 0.58511	TrainAcc 0.8724	ValidAcc 0.8606	TestAcc 0.6936
    Epoch 22:	Loss 0.57540	TrainAcc 0.8731	ValidAcc 0.8623	TestAcc 0.6894
    Epoch 23:	Loss 0.56698	TrainAcc 0.8743	ValidAcc 0.8626	TestAcc 0.6866
    Epoch 24:	Loss 0.55782	TrainAcc 0.8757	ValidAcc 0.8619	TestAcc 0.6873
    Epoch 25:	Loss 0.54867	TrainAcc 0.8765	ValidAcc 0.8642	TestAcc 0.6919
    Epoch 26:	Loss 0.53996	TrainAcc 0.8776	ValidAcc 0.8660	TestAcc 0.6977
    Epoch 27:	Loss 0.53335	TrainAcc 0.8784	ValidAcc 0.8682	TestAcc 0.7019
    Epoch 28:	Loss 0.52827	TrainAcc 0.8791	ValidAcc 0.8689	TestAcc 0.7046
    Epoch 29:	Loss 0.52355	TrainAcc 0.8803	ValidAcc 0.8694	TestAcc 0.7057
    Epoch 30:	Loss 0.51916	TrainAcc 0.8812	ValidAcc 0.8709	TestAcc 0.7064
    Epoch 31:	Loss 0.51535	TrainAcc 0.8825	ValidAcc 0.8715	TestAcc 0.7081
    Epoch 32:	Loss 0.51197	TrainAcc 0.8834	ValidAcc 0.8718	TestAcc 0.7095
    Epoch 33:	Loss 0.50846	TrainAcc 0.8839	ValidAcc 0.8733	TestAcc 0.7108
    Epoch 34:	Loss 0.50534	TrainAcc 0.8841	ValidAcc 0.8741	TestAcc 0.7118
    Epoch 35:	Loss 0.50296	TrainAcc 0.8828	ValidAcc 0.8738	TestAcc 0.7117
    Epoch 36:	Loss 0.50070	TrainAcc 0.8832	ValidAcc 0.8734	TestAcc 0.7120
    Epoch 37:	Loss 0.49863	TrainAcc 0.8836	ValidAcc 0.8730	TestAcc 0.7129
    Epoch 38:	Loss 0.49620	TrainAcc 0.8839	ValidAcc 0.8732	TestAcc 0.7135
    Epoch 39:	Loss 0.49350	TrainAcc 0.8847	ValidAcc 0.8743	TestAcc 0.7144
    Epoch 40:	Loss 0.49132	TrainAcc 0.8859	ValidAcc 0.8749	TestAcc 0.7160
    Epoch 41:	Loss 0.48931	TrainAcc 0.8867	ValidAcc 0.8755	TestAcc 0.7179
    Epoch 42:	Loss 0.48746	TrainAcc 0.8868	ValidAcc 0.8757	TestAcc 0.7191
    Epoch 43:	Loss 0.48586	TrainAcc 0.8872	ValidAcc 0.8759	TestAcc 0.7193
    Epoch 44:	Loss 0.48450	TrainAcc 0.8874	ValidAcc 0.8761	TestAcc 0.7191
    Epoch 45:	Loss 0.48334	TrainAcc 0.8872	ValidAcc 0.8760	TestAcc 0.7192
    Epoch 46:	Loss 0.48209	TrainAcc 0.8876	ValidAcc 0.8769	TestAcc 0.7198
    Epoch 47:	Loss 0.48098	TrainAcc 0.8881	ValidAcc 0.8766	TestAcc 0.7203
    Epoch 48:	Loss 0.48001	TrainAcc 0.8883	ValidAcc 0.8767	TestAcc 0.7199
    Epoch 49:	Loss 0.47900	TrainAcc 0.8887	ValidAcc 0.8761	TestAcc 0.7190
    Epoch 50:	Loss 0.47803	TrainAcc 0.8888	ValidAcc 0.8762	TestAcc 0.7179
    Epoch 51:	Loss 0.47709	TrainAcc 0.8888	ValidAcc 0.8768	TestAcc 0.7174
    Epoch 52:	Loss 0.47613	TrainAcc 0.8886	ValidAcc 0.8772	TestAcc 0.7177
    Epoch 53:	Loss 0.47531	TrainAcc 0.8886	ValidAcc 0.8778	TestAcc 0.7181
    Epoch 54:	Loss 0.47462	TrainAcc 0.8888	ValidAcc 0.8781	TestAcc 0.7178
    Epoch 55:	Loss 0.47400	TrainAcc 0.8890	ValidAcc 0.8785	TestAcc 0.7169
    Epoch 56:	Loss 0.47342	TrainAcc 0.8889	ValidAcc 0.8783	TestAcc 0.7157
    Epoch 57:	Loss 0.47285	TrainAcc 0.8889	ValidAcc 0.8783	TestAcc 0.7148
    Epoch 58:	Loss 0.47225	TrainAcc 0.8890	ValidAcc 0.8779	TestAcc 0.7143
    Epoch 59:	Loss 0.47166	TrainAcc 0.8894	ValidAcc 0.8784	TestAcc 0.7142
    Epoch 60:	Loss 0.47112	TrainAcc 0.8897	ValidAcc 0.8787	TestAcc 0.7141
    Epoch 61:	Loss 0.47065	TrainAcc 0.8900	ValidAcc 0.8786	TestAcc 0.7140
    Epoch 62:	Loss 0.47018	TrainAcc 0.8899	ValidAcc 0.8787	TestAcc 0.7138
    Epoch 63:	Loss 0.46975	TrainAcc 0.8901	ValidAcc 0.8784	TestAcc 0.7135
    Epoch 64:	Loss 0.46935	TrainAcc 0.8901	ValidAcc 0.8784	TestAcc 0.7134
    Epoch 65:	Loss 0.46897	TrainAcc 0.8902	ValidAcc 0.8786	TestAcc 0.7135
    Epoch 66:	Loss 0.46856	TrainAcc 0.8903	ValidAcc 0.8785	TestAcc 0.7138
    Epoch 67:	Loss 0.46817	TrainAcc 0.8903	ValidAcc 0.8785	TestAcc 0.7142
    Epoch 68:	Loss 0.46781	TrainAcc 0.8904	ValidAcc 0.8785	TestAcc 0.7143
    Epoch 69:	Loss 0.46746	TrainAcc 0.8904	ValidAcc 0.8781	TestAcc 0.7142
    Epoch 70:	Loss 0.46714	TrainAcc 0.8904	ValidAcc 0.8781	TestAcc 0.7140
    Epoch 71:	Loss 0.46686	TrainAcc 0.8906	ValidAcc 0.8780	TestAcc 0.7139
    Epoch 72:	Loss 0.46658	TrainAcc 0.8906	ValidAcc 0.8782	TestAcc 0.7141
    Epoch 73:	Loss 0.46629	TrainAcc 0.8907	ValidAcc 0.8782	TestAcc 0.7143
    Epoch 74:	Loss 0.46601	TrainAcc 0.8909	ValidAcc 0.8782	TestAcc 0.7142
    Epoch 75:	Loss 0.46575	TrainAcc 0.8908	ValidAcc 0.8782	TestAcc 0.7139
    Epoch 76:	Loss 0.46549	TrainAcc 0.8910	ValidAcc 0.8782	TestAcc 0.7137
    Epoch 77:	Loss 0.46524	TrainAcc 0.8910	ValidAcc 0.8784	TestAcc 0.7135
    Epoch 78:	Loss 0.46501	TrainAcc 0.8910	ValidAcc 0.8786	TestAcc 0.7135
    Epoch 79:	Loss 0.46477	TrainAcc 0.8911	ValidAcc 0.8787	TestAcc 0.7134
    Epoch 80:	Loss 0.46455	TrainAcc 0.8912	ValidAcc 0.8788	TestAcc 0.7133
    Epoch 81:	Loss 0.46434	TrainAcc 0.8913	ValidAcc 0.8786	TestAcc 0.7132
    Epoch 82:	Loss 0.46413	TrainAcc 0.8913	ValidAcc 0.8788	TestAcc 0.7133
    Epoch 83:	Loss 0.46393	TrainAcc 0.8913	ValidAcc 0.8789	TestAcc 0.7132
    Epoch 84:	Loss 0.46374	TrainAcc 0.8913	ValidAcc 0.8789	TestAcc 0.7132
    Epoch 85:	Loss 0.46355	TrainAcc 0.8913	ValidAcc 0.8790	TestAcc 0.7129
    Epoch 86:	Loss 0.46336	TrainAcc 0.8914	ValidAcc 0.8790	TestAcc 0.7127
    Epoch 87:	Loss 0.46318	TrainAcc 0.8915	ValidAcc 0.8789	TestAcc 0.7126
    Epoch 88:	Loss 0.46301	TrainAcc 0.8916	ValidAcc 0.8789	TestAcc 0.7125
    Epoch 89:	Loss 0.46284	TrainAcc 0.8916	ValidAcc 0.8787	TestAcc 0.7124
    Epoch 90:	Loss 0.46268	TrainAcc 0.8917	ValidAcc 0.8786	TestAcc 0.7123
    Epoch 91:	Loss 0.46252	TrainAcc 0.8916	ValidAcc 0.8787	TestAcc 0.7123
    Epoch 92:	Loss 0.46237	TrainAcc 0.8915	ValidAcc 0.8786	TestAcc 0.7123
    Epoch 93:	Loss 0.46221	TrainAcc 0.8916	ValidAcc 0.8787	TestAcc 0.7123
    Epoch 94:	Loss 0.46206	TrainAcc 0.8916	ValidAcc 0.8788	TestAcc 0.7123
    Epoch 95:	Loss 0.46192	TrainAcc 0.8917	ValidAcc 0.8788	TestAcc 0.7122
    Epoch 96:	Loss 0.46178	TrainAcc 0.8918	ValidAcc 0.8787	TestAcc 0.7121
    Epoch 97:	Loss 0.46164	TrainAcc 0.8917	ValidAcc 0.8787	TestAcc 0.7120
    Epoch 98:	Loss 0.46151	TrainAcc 0.8917	ValidAcc 0.8787	TestAcc 0.7119
    Epoch 99:	Loss 0.46137	TrainAcc 0.8917	ValidAcc 0.8787	TestAcc 0.7118
    Epoch 100:	Loss 0.46124	TrainAcc 0.8918	ValidAcc 0.8786	TestAcc 0.7117
    Epoch 101:	Loss 0.46112	TrainAcc 0.8919	ValidAcc 0.8787	TestAcc 0.7117
    Epoch 102:	Loss 0.46099	TrainAcc 0.8920	ValidAcc 0.8787	TestAcc 0.7117
    Epoch 103:	Loss 0.46087	TrainAcc 0.8920	ValidAcc 0.8787	TestAcc 0.7116
    Epoch 104:	Loss 0.46075	TrainAcc 0.8920	ValidAcc 0.8787	TestAcc 0.7115
    Epoch 105:	Loss 0.46064	TrainAcc 0.8920	ValidAcc 0.8787	TestAcc 0.7114
    Epoch 106:	Loss 0.46053	TrainAcc 0.8921	ValidAcc 0.8787	TestAcc 0.7114
    Epoch 107:	Loss 0.46041	TrainAcc 0.8921	ValidAcc 0.8787	TestAcc 0.7114
    Epoch 108:	Loss 0.46031	TrainAcc 0.8921	ValidAcc 0.8786	TestAcc 0.7113
    Epoch 109:	Loss 0.46020	TrainAcc 0.8922	ValidAcc 0.8786	TestAcc 0.7113
    Epoch 110:	Loss 0.46009	TrainAcc 0.8922	ValidAcc 0.8785	TestAcc 0.7112
    Epoch 111:	Loss 0.45999	TrainAcc 0.8921	ValidAcc 0.8785	TestAcc 0.7112
    Epoch 112:	Loss 0.45989	TrainAcc 0.8920	ValidAcc 0.8785	TestAcc 0.7112
    Epoch 113:	Loss 0.45979	TrainAcc 0.8920	ValidAcc 0.8786	TestAcc 0.7111
    Epoch 114:	Loss 0.45969	TrainAcc 0.8920	ValidAcc 0.8786	TestAcc 0.7111
    Epoch 115:	Loss 0.45960	TrainAcc 0.8920	ValidAcc 0.8786	TestAcc 0.7111
    Epoch 116:	Loss 0.45950	TrainAcc 0.8921	ValidAcc 0.8787	TestAcc 0.7110
    Epoch 117:	Loss 0.45941	TrainAcc 0.8921	ValidAcc 0.8788	TestAcc 0.7110
    Epoch 118:	Loss 0.45932	TrainAcc 0.8922	ValidAcc 0.8787	TestAcc 0.7109
    Epoch 119:	Loss 0.45923	TrainAcc 0.8921	ValidAcc 0.8788	TestAcc 0.7109
    Epoch 120:	Loss 0.45914	TrainAcc 0.8921	ValidAcc 0.8788	TestAcc 0.7109
    Epoch 121:	Loss 0.45905	TrainAcc 0.8922	ValidAcc 0.8788	TestAcc 0.7109
    Epoch 122:	Loss 0.45897	TrainAcc 0.8921	ValidAcc 0.8788	TestAcc 0.7108
    Epoch 123:	Loss 0.45889	TrainAcc 0.8922	ValidAcc 0.8788	TestAcc 0.7108
    Epoch 124:	Loss 0.45880	TrainAcc 0.8922	ValidAcc 0.8790	TestAcc 0.7108
    Epoch 125:	Loss 0.45872	TrainAcc 0.8922	ValidAcc 0.8789	TestAcc 0.7107
    Epoch 126:	Loss 0.45865	TrainAcc 0.8922	ValidAcc 0.8791	TestAcc 0.7107
    Epoch 127:	Loss 0.45857	TrainAcc 0.8922	ValidAcc 0.8791	TestAcc 0.7107
    Epoch 128:	Loss 0.45849	TrainAcc 0.8923	ValidAcc 0.8789	TestAcc 0.7106
    Epoch 129:	Loss 0.45842	TrainAcc 0.8923	ValidAcc 0.8789	TestAcc 0.7106
    Epoch 130:	Loss 0.45834	TrainAcc 0.8923	ValidAcc 0.8789	TestAcc 0.7106
    Epoch 131:	Loss 0.45827	TrainAcc 0.8923	ValidAcc 0.8789	TestAcc 0.7105
    Epoch 132:	Loss 0.45820	TrainAcc 0.8923	ValidAcc 0.8789	TestAcc 0.7105
    Epoch 133:	Loss 0.45813	TrainAcc 0.8923	ValidAcc 0.8790	TestAcc 0.7104
    Epoch 134:	Loss 0.45806	TrainAcc 0.8923	ValidAcc 0.8791	TestAcc 0.7104
    Epoch 135:	Loss 0.45799	TrainAcc 0.8923	ValidAcc 0.8790	TestAcc 0.7104
    Epoch 136:	Loss 0.45792	TrainAcc 0.8923	ValidAcc 0.8790	TestAcc 0.7103
    Epoch 137:	Loss 0.45786	TrainAcc 0.8923	ValidAcc 0.8789	TestAcc 0.7103
    Epoch 138:	Loss 0.45779	TrainAcc 0.8923	ValidAcc 0.8789	TestAcc 0.7102
    Epoch 139:	Loss 0.45773	TrainAcc 0.8923	ValidAcc 0.8788	TestAcc 0.7102
    Epoch 140:	Loss 0.45767	TrainAcc 0.8923	ValidAcc 0.8787	TestAcc 0.7101
    Epoch 141:	Loss 0.45760	TrainAcc 0.8923	ValidAcc 0.8787	TestAcc 0.7101
    Epoch 142:	Loss 0.45754	TrainAcc 0.8924	ValidAcc 0.8789	TestAcc 0.7101
    Epoch 143:	Loss 0.45748	TrainAcc 0.8924	ValidAcc 0.8789	TestAcc 0.7100
    Epoch 144:	Loss 0.45742	TrainAcc 0.8924	ValidAcc 0.8789	TestAcc 0.7100
    Epoch 145:	Loss 0.45737	TrainAcc 0.8924	ValidAcc 0.8789	TestAcc 0.7099
    Epoch 146:	Loss 0.45731	TrainAcc 0.8924	ValidAcc 0.8788	TestAcc 0.7099
    Epoch 147:	Loss 0.45725	TrainAcc 0.8924	ValidAcc 0.8789	TestAcc 0.7099
    Epoch 148:	Loss 0.45720	TrainAcc 0.8924	ValidAcc 0.8788	TestAcc 0.7099
