The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_arxiv
The number of GCN layers: 3
The number of hidden units: 256
The number of training epoches: 5000
Learning rate: 0.000100
Initialized node g003.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 0.046 seconds.
Building the CSC structure...
        It takes 0.020 seconds.
Building the Feature Vector...
        It takes 0.155 seconds.
Building the Label Vector...
        It takes 0.050 seconds.
Number of classes: 40
Number of feature dimensions: 128
train nodes 90941, valid nodes 29799, test nodes 48603
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 40
    Number of vertices: 169343
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.75513	TrainAcc 0.0131	ValidAcc 0.0113	TestAcc 0.0099
    Epoch 1:	Loss 3.73979	TrainAcc 0.0140	ValidAcc 0.0115	TestAcc 0.0101
    Epoch 2:	Loss 3.71945	TrainAcc 0.0150	ValidAcc 0.0121	TestAcc 0.0105
    Epoch 3:	Loss 3.69614	TrainAcc 0.0161	ValidAcc 0.0127	TestAcc 0.0112
    Epoch 4:	Loss 3.67103	TrainAcc 0.0178	ValidAcc 0.0136	TestAcc 0.0124
    Epoch 5:	Loss 3.64489	TrainAcc 0.0221	ValidAcc 0.0174	TestAcc 0.0156
    Epoch 6:	Loss 3.61832	TrainAcc 0.0484	ValidAcc 0.0327	TestAcc 0.0290
    Epoch 7:	Loss 3.59179	TrainAcc 0.1195	ValidAcc 0.0802	TestAcc 0.0646
    Epoch 8:	Loss 3.56573	TrainAcc 0.2071	ValidAcc 0.1669	TestAcc 0.1258
    Epoch 9:	Loss 3.54037	TrainAcc 0.2390	ValidAcc 0.2130	TestAcc 0.1700
    Epoch 10:	Loss 3.51576	TrainAcc 0.2517	ValidAcc 0.2335	TestAcc 0.1929
    Epoch 11:	Loss 3.49193	TrainAcc 0.2573	ValidAcc 0.2437	TestAcc 0.2042
    Epoch 12:	Loss 3.46886	TrainAcc 0.2604	ValidAcc 0.2515	TestAcc 0.2105
    Epoch 13:	Loss 3.44652	TrainAcc 0.2625	ValidAcc 0.2565	TestAcc 0.2147
