The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_products
The number of GCN layers: 3
The number of hidden units: 256
The number of training epoches: 5000
Learning rate: 0.000100
Initialized node g003.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 1.940 seconds.
Building the CSC structure...
        It takes 1.852 seconds.
Building the Feature Vector...
        It takes 3.435 seconds.
Building the Label Vector...
        It takes 2.308 seconds.
Number of classes: 47
Number of feature dimensions: 100
train nodes 196615, valid nodes 39323, test nodes 2213091
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 47
    Number of vertices: 2449029
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.87108	TrainAcc 0.0016	ValidAcc 0.0023	TestAcc 0.0044
    Epoch 1:	Loss 3.85280	TrainAcc 0.0030	ValidAcc 0.0032	TestAcc 0.0056
    Epoch 2:	Loss 3.82834	TrainAcc 0.0086	ValidAcc 0.0085	TestAcc 0.0097
    Epoch 3:	Loss 3.80003	TrainAcc 0.0265	ValidAcc 0.0261	TestAcc 0.0201
    Epoch 4:	Loss 3.76913	TrainAcc 0.0584	ValidAcc 0.0568	TestAcc 0.0403
    Epoch 5:	Loss 3.73646	TrainAcc 0.0991	ValidAcc 0.0935	TestAcc 0.0690
    Epoch 6:	Loss 3.70259	TrainAcc 0.1534	ValidAcc 0.1444	TestAcc 0.1090
    Epoch 7:	Loss 3.66794	TrainAcc 0.2337	ValidAcc 0.2217	TestAcc 0.1626
    Epoch 8:	Loss 3.63282	TrainAcc 0.3004	ValidAcc 0.2919	TestAcc 0.2199
    Epoch 9:	Loss 3.59747	TrainAcc 0.3359	ValidAcc 0.3351	TestAcc 0.2641
    Epoch 10:	Loss 3.56209	TrainAcc 0.3492	ValidAcc 0.3535	TestAcc 0.2912
    Epoch 11:	Loss 3.52681	TrainAcc 0.3536	ValidAcc 0.3602	TestAcc 0.3061
    Epoch 12:	Loss 3.49174	TrainAcc 0.3538	ValidAcc 0.3610	TestAcc 0.3124
    Epoch 13:	Loss 3.45698	TrainAcc 0.3505	ValidAcc 0.3581	TestAcc 0.3128
    Epoch 14:	Loss 3.42259	TrainAcc 0.3484	ValidAcc 0.3554	TestAcc 0.3118
    Epoch 15:	Loss 3.38860	TrainAcc 0.3471	ValidAcc 0.3542	TestAcc 0.3109
    Epoch 16:	Loss 3.35505	TrainAcc 0.3481	ValidAcc 0.3563	TestAcc 0.3115
    Epoch 17:	Loss 3.32197	TrainAcc 0.3474	ValidAcc 0.3553	TestAcc 0.3106
    Epoch 18:	Loss 3.28938	TrainAcc 0.3465	ValidAcc 0.3538	TestAcc 0.3096
    Epoch 19:	Loss 3.25728	TrainAcc 0.3457	ValidAcc 0.3523	TestAcc 0.3084
    Epoch 20:	Loss 3.22568	TrainAcc 0.3451	ValidAcc 0.3510	TestAcc 0.3074
